County,State,Asian Alone Total,Asian Alone Foreign Born,Asian Alone Foreign Born Share,NHPI Alone Total,NHPI Foreign Born,NHPI Foreign Born Share
Autauga County, Alabama,516,394,76.36,43,17,39.53
Baldwin County, Alabama,1405,938,66.76,,,
Barbour County, Alabama,165,111,67.27,,,
Bibb County, Alabama,,,,,,
Blount County, Alabama,84,74,88.1,,,
Bullock County, Alabama,73,37,50.68,,,
Butler County, Alabama,224,189,84.38,,,
Calhoun County, Alabama,1149,834,72.58,7,,
Chambers County, Alabama,339,278,82.01,,,
Cherokee County, Alabama,50,33,66,,,
Chilton County, Alabama,187,140,74.87,,,
Choctaw County, Alabama,8,8,100,,,
Clarke County, Alabama,127,54,42.52,22,,
Clay County, Alabama,6,6,100,,,
Cleburne County, Alabama,81,37,45.68,,,
Coffee County, Alabama,659,492,74.66,,,
Colbert County, Alabama,274,240,87.59,19,,
Conecuh County, Alabama,4,,,,,
Coosa County, Alabama,,,,,,
Covington County, Alabama,158,89,56.33,8,,
Crenshaw County, Alabama,194,145,74.74,,,
Cullman County, Alabama,528,449,85.04,3,,
Dale County, Alabama,503,349,69.38,9,3,33.33
Dallas County, Alabama,183,125,68.31,23,,
DeKalb County, Alabama,208,150,72.12,640,243,37.97
Elmore County, Alabama,461,299,64.86,,,
Escambia County, Alabama,149,124,83.22,54,,
Etowah County, Alabama,706,598,84.7,71,44,61.97
Fayette County, Alabama,78,78,100,,,
Franklin County, Alabama,117,101,86.32,32,32,100
Geneva County, Alabama,106,88,83.02,,,
Greene County, Alabama,,,,,,
Hale County, Alabama,26,12,46.15,,,
Henry County, Alabama,,,,,,
Houston County, Alabama,899,536,59.62,22,,
Jackson County, Alabama,238,176,73.95,67,,
Jefferson County, Alabama,10187,7226,70.93,184,75,40.76
Lamar County, Alabama,,,,,,
Lauderdale County, Alabama,626,497,79.39,23,,
Lawrence County, Alabama,18,7,38.89,,,
Lee County, Alabama,6000,4699,78.32,12,,
Limestone County, Alabama,1165,826,70.9,62,22,35.48
Lowndes County, Alabama,,,,,,
Macon County, Alabama,38,38,100,,,
Madison County, Alabama,9034,6688,74.03,341,14,4.11
Marengo County, Alabama,,,,,,
Marion County, Alabama,96,85,88.54,,,
Marshall County, Alabama,534,375,70.22,48,1,2.08
Mobile County, Alabama,8127,5211,64.12,54,,
Monroe County, Alabama,116,75,64.66,,,
Montgomery County, Alabama,5567,4232,76.02,51,10,19.61
Morgan County, Alabama,779,454,58.28,55,,
Perry County, Alabama,23,23,100,,,
Pickens County, Alabama,13,2,15.38,10,,
Pike County, Alabama,731,481,65.8,2,,
Randolph County, Alabama,36,12,33.33,36,,
Russell County, Alabama,424,314,74.06,140,45,32.14
Shelby County, Alabama,3973,2711,68.24,56,,
St. Clair County, Alabama,732,624,85.25,11,,
Sumter County, Alabama,392,222,56.63,,,
Talladega County, Alabama,469,365,77.83,22,,
Tallapoosa County, Alabama,160,85,53.13,,,
Tuscaloosa County, Alabama,3135,2262,72.15,67,7,10.45
Walker County, Alabama,306,210,68.63,,,
Washington County, Alabama,159,159,100,,,
Wilcox County, Alabama,,,,,,
