County,State,Asian Alone Total,Asian Alone LEP,LEP Share Asian Alone,NHPI Alone Total,NHPI Alone LEP,LEP Share NHPI Alone
Abbeville County,South Carolina,71,,,0,,
Acadia Parish,Louisiana,65,,,18,,
Accomack County,Virginia,221,,,0,,
Ada County,Idaho,10667,,,657,,
Adair County,Iowa,36,,,0,,
Adair County,Kentucky,19,,,0,,
Adair County,Missouri,642,,,33,,
Adair County,Oklahoma,123,,,49,,
Adams County,Colorado,17814,6772,51.38,515,,
Adams County,Idaho,0,,,8,,
Adams County,Illinois,469,,,38,,
Adams County,Indiana,111,,,0,,
Adams County,Iowa,21,,,0,,
Adams County,Mississippi,117,,,0,,
Adams County,Nebraska,410,,,12,,
Adams County,North Dakota,51,,,0,,
Adams County,Ohio,55,,,0,,
Adams County,Pennsylvania,704,,,0,,
Adams County,Washington,215,,,0,,
Adams County,Wisconsin,107,,,0,,
Addison County,Vermont,707,,,0,,
Adjuntas Municipio,Puerto Rico,0,,,0,,
Aguada Municipio,Puerto Rico,0,,,0,,
Aguadilla Municipio,Puerto Rico,488,,,10,,
Aguas Buenas Municipio,Puerto Rico,0,,,0,,
Aibonito Municipio,Puerto Rico,52,,,0,,
Aiken County,South Carolina,1434,,,76,,
Aitkin County,Minnesota,58,,,2,,
Alachua County,Florida,14531,3978,39.35,147,,
Alamance County,North Carolina,2189,,,67,,
Alameda County,California,446272,149380,43.26,12974,1117,18.61
Alamosa County,Colorado,204,,,36,,
Albany County,New York,18573,6372,44.03,121,,
Albany County,Wyoming,1108,,,8,,
Albemarle County,Virginia,4999,1455,40.36,42,,
Alcona County,Michigan,44,,,3,,
Alcorn County,Mississippi,107,,,0,,
Aleutians East Borough,Alaska,874,,,46,,
Aleutians West Census Area,Alaska,2153,992,49.11,140,,
Alexander County,Illinois,9,,,0,,
Alexander County,North Carolina,394,,,28,,
Alexandria city,Virginia,9274,2274,35.87,54,,
Alfalfa County,Oklahoma,0,,,0,,
Alger County,Michigan,10,,,0,,
Allamakee County,Iowa,40,,,3,,
Allegan County,Michigan,585,,,22,,
Allegany County,Maryland,586,,,24,,
Allegany County,New York,554,,,7,,
Alleghany County,North Carolina,22,,,0,,
Alleghany County,Virginia,9,,,8,,
Allegheny County,Pennsylvania,40773,12820,40.42,335,,
Allen County,Indiana,11847,5726,59.81,151,,
Allen County,Kansas,73,,,19,,
Allen County,Kentucky,41,,,0,,
Allen County,Ohio,703,,,0,,
Allen Parish,Louisiana,146,,,0,,
Allendale County,South Carolina,0,,,3,,
Alpena County,Michigan,134,,,27,,
Alpine County,California,8,,,8,,
Amador County,California,560,,,84,,
Amelia County,Virginia,15,,,0,,
Amherst County,Virginia,178,,,15,,
Amite County,Mississippi,34,,,0,,
Añasco Municipio,Puerto Rico,0,,,1,,
Anchorage Municipality,Alaska,25999,10380,54.34,6394,,
Anderson County,Kansas,0,,,0,,
Anderson County,Kentucky,74,,,0,,
Anderson County,South Carolina,1685,,,95,,
Anderson County,Tennessee,972,,,2,,
Anderson County,Texas,288,,,22,,
Andrew County,Missouri,39,,,74,,
Andrews County,Texas,37,,,9,,
Androscoggin County,Maine,852,,,2,,
Angelina County,Texas,884,,,9,,
Anne Arundel County,Maryland,20053,6110,43.42,408,,
Anoka County,Minnesota,13897,4157,41.09,100,,
Anson County,North Carolina,290,,,12,,
Antelope County,Nebraska,23,,,0,,
Antrim County,Michigan,72,,,0,,
Apache County,Arizona,218,,,40,,
Appanoose County,Iowa,68,,,0,,
Appling County,Georgia,156,,,0,,
Appomattox County,Virginia,27,,,0,,
Aransas County,Texas,500,,,0,,
Arapahoe County,Colorado,33807,12531,47.91,1284,,
Archer County,Texas,34,,,0,,
Archuleta County,Colorado,92,,,0,,
Arecibo Municipio,Puerto Rico,671,,,0,,
Arenac County,Michigan,59,,,0,,
Arkansas County,Arkansas,2,,,0,,
Arlington County,Virginia,22405,4736,28.81,194,,
Armstrong County,Pennsylvania,147,,,0,,
Armstrong County,Texas,0,,,0,,
Aroostook County,Maine,290,,,6,,
Arroyo Municipio,Puerto Rico,0,,,0,,
Arthur County,Nebraska,0,,,0,,
Ascension Parish,Louisiana,1017,,,0,,
Ashe County,North Carolina,114,,,9,,
Ashland County,Ohio,325,,,0,,
Ashland County,Wisconsin,67,,,0,,
Ashley County,Arkansas,0,,,0,,
Ashtabula County,Ohio,479,,,41,,
Asotin County,Washington,195,,,29,,
Assumption Parish,Louisiana,63,,,0,,
Atascosa County,Texas,204,,,0,,
Atchison County,Kansas,55,,,9,,
Atchison County,Missouri,31,,,0,,
Athens County,Ohio,1797,,,48,,
Atkinson County,Georgia,0,,,0,,
Atlantic County,New Jersey,21789,10209,54.02,92,,
Atoka County,Oklahoma,85,,,8,,
Attala County,Mississippi,82,,,0,,
Audrain County,Missouri,54,,,12,,
Audubon County,Iowa,26,,,0,,
Auglaize County,Ohio,267,,,28,,
Augusta County,Virginia,432,,,63,,
Aurora County,South Dakota,0,,,0,,
Austin County,Texas,53,,,0,,
Autauga County,Alabama,511,,,43,,
Avery County,North Carolina,108,,,0,,
Avoyelles Parish,Louisiana,57,,,50,,
Baca County,Colorado,0,,,0,,
Bacon County,Georgia,105,,,24,,
Bailey County,Texas,63,,,16,,
Baker County,Florida,200,,,11,,
Baker County,Georgia,18,,,16,,
Baker County,Oregon,109,,,56,,
Baldwin County,Alabama,1324,,,0,,
Baldwin County,Georgia,687,,,70,,
Ballard County,Kentucky,33,,,0,,
Baltimore city,Maryland,15146,4401,42.55,280,,
Baltimore County,Maryland,45727,14796,41.16,334,,
Bamberg County,South Carolina,63,,,0,,
Bandera County,Texas,47,,,0,,
Banks County,Georgia,228,,,0,,
Banner County,Nebraska,0,,,0,,
Bannock County,Idaho,1112,,,186,,
Baraga County,Michigan,42,,,3,,
Barber County,Kansas,33,,,0,,
Barbour County,Alabama,118,,,0,,
Barbour County,West Virginia,114,,,0,,
Barceloneta Municipio,Puerto Rico,90,,,0,,
Barnes County,North Dakota,58,,,11,,
Barnstable County,Massachusetts,2965,,,177,,
Barnwell County,South Carolina,112,,,14,,
Barranquitas Municipio,Puerto Rico,0,,,0,,
Barren County,Kentucky,187,,,0,,
Barron County,Wisconsin,258,,,0,,
Barrow County,Georgia,2478,,,0,,
Barry County,Michigan,292,,,6,,
Barry County,Missouri,514,,,0,,
Bartholomew County,Indiana,4603,,,53,,
Barton County,Kansas,48,,,76,,
Barton County,Missouri,71,,,5,,
Bartow County,Georgia,880,,,2,,
Bastrop County,Texas,711,,,0,,
Bates County,Missouri,32,,,9,,
Bath County,Kentucky,35,,,0,,
Bath County,Virginia,12,,,0,,
Baxter County,Arkansas,160,,,11,,
Bay County,Florida,3916,1182,41.04,54,,
Bay County,Michigan,574,,,0,,
Bayamón Municipio,Puerto Rico,300,,,12,,
Bayfield County,Wisconsin,79,,,0,,
Baylor County,Texas,0,,,0,,
Beadle County,South Dakota,1413,1124,84.83,0,,
Bear Lake County,Idaho,40,,,0,,
Beaufort County,North Carolina,39,,,18,,
Beaufort County,South Carolina,2114,,,90,,
Beauregard Parish,Louisiana,140,,,6,,
Beaver County,Oklahoma,0,,,0,,
Beaver County,Pennsylvania,739,,,71,,
Beaver County,Utah,16,,,0,,
Beaverhead County,Montana,46,,,3,,
Becker County,Minnesota,186,,,9,,
Beckham County,Oklahoma,188,,,17,,
Bedford County,Pennsylvania,105,,,0,,
Bedford County,Tennessee,175,,,33,,
Bedford County,Virginia,985,,,12,,
Bee County,Texas,161,,,3,,
Belknap County,New Hampshire,579,,,16,,
Bell County,Kentucky,55,,,0,,
Bell County,Texas,9124,2552,42.59,2232,,
Belmont County,Ohio,273,,,0,,
Beltrami County,Minnesota,351,,,43,,
Ben Hill County,Georgia,27,,,8,,
Benewah County,Idaho,91,,,20,,
Bennett County,South Dakota,9,,,0,,
Bennington County,Vermont,140,,,12,,
Benson County,North Dakota,9,,,0,,
Bent County,Colorado,26,,,0,,
Benton County,Arkansas,8401,1643,35.28,1049,,
Benton County,Indiana,14,,,0,,
Benton County,Iowa,73,,,0,,
Benton County,Minnesota,362,,,0,,
Benton County,Mississippi,0,,,0,,
Benton County,Missouri,24,,,3,,
Benton County,Oregon,5689,2071,48.7,212,,
Benton County,Tennessee,21,,,0,,
Benton County,Washington,4630,,,173,,
Benzie County,Michigan,73,,,5,,
Bergen County,New Jersey,144532,48363,40.92,290,,
Berkeley County,South Carolina,4540,,,97,,
Berkeley County,West Virginia,1164,,,88,,
Berks County,Pennsylvania,5604,1837,48.06,118,,
Berkshire County,Massachusetts,1960,,,42,,
Bernalillo County,New Mexico,16104,4757,43.94,550,,
Berrien County,Georgia,175,,,0,,
Berrien County,Michigan,2922,771,38.63,67,,
Bertie County,North Carolina,104,,,1,,
Bethel Census Area,Alaska,165,,,4,,
Bexar County,Texas,48278,15060,43.49,2171,,
Bibb County,Alabama,0,,,0,,
Bibb County,Georgia,2754,,,31,,
Bienville Parish,Louisiana,5,,,0,,
Big Horn County,Montana,14,,,3,,
Big Horn County,Wyoming,48,,,17,,
Big Stone County,Minnesota,0,,,0,,
Billings County,North Dakota,0,,,0,,
Bingham County,Idaho,427,,,2,,
Black Hawk County,Iowa,2486,,,279,,
Blackford County,Indiana,55,,,0,,
Bladen County,North Carolina,2,,,0,,
Blaine County,Idaho,243,,,95,,
Blaine County,Montana,0,,,10,,
Blaine County,Nebraska,3,,,7,,
Blaine County,Oklahoma,14,,,0,,
Blair County,Pennsylvania,839,,,45,,
Blanco County,Texas,64,,,0,,
Bland County,Virginia,3,,,3,,
Bleckley County,Georgia,22,,,0,,
Bledsoe County,Tennessee,43,,,0,,
Blount County,Alabama,84,,,0,,
Blount County,Tennessee,861,,,110,,
Blue Earth County,Minnesota,1350,,,12,,
Boise County,Idaho,76,,,5,,
Bolivar County,Mississippi,309,,,0,,
