County,State,Asian Alone Total,Asian Alone Below Poverty,Asian Alone at or above Poverty,NHPI Alone Total,NHPI Alone Below Poverty,NHPI Alone at or Above Poverty
Autauga County, Alabama,516,91,425,43,0,43
Baldwin County, Alabama,1405,364,1041,0,0,0
Barbour County, Alabama,165,0,165,0,0,0
Bibb County, Alabama,0,0,0,0,0,0
Blount County, Alabama,84,20,64,0,0,0
Bullock County, Alabama,73,20,53,0,0,0
Butler County, Alabama,224,0,224,0,0,0
Calhoun County, Alabama,1125,179,946,7,7,0
Chambers County, Alabama,339,27,312,0,0,0
Cherokee County, Alabama,50,30,20,0,0,0
Chilton County, Alabama,187,0,187,0,0,0
Choctaw County, Alabama,8,0,8,0,0,0
Clarke County, Alabama,117,15,102,22,0,22
Clay County, Alabama,6,0,6,0,0,0
Cleburne County, Alabama,81,3,78,0,0,0
Coffee County, Alabama,654,49,605,0,0,0
Colbert County, Alabama,270,22,248,19,0,19
Conecuh County, Alabama,4,0,4,0,0,0
Coosa County, Alabama,0,0,0,0,0,0
Covington County, Alabama,158,5,153,8,3,5
Crenshaw County, Alabama,194,0,194,0,0,0
Cullman County, Alabama,528,50,478,3,0,3
Dale County, Alabama,468,21,447,9,9,0
Dallas County, Alabama,173,0,173,23,0,23
DeKalb County, Alabama,208,12,196,640,83,557
Elmore County, Alabama,447,46,401,0,0,0
Escambia County, Alabama,132,15,117,54,0,54
Etowah County, Alabama,696,2,694,71,0,71
Fayette County, Alabama,78,18,60,0,0,0
Franklin County, Alabama,117,110,7,32,0,32
Geneva County, Alabama,106,9,97,0,0,0
Greene County, Alabama,0,0,0,0,0,0
Hale County, Alabama,26,0,26,0,0,0
Henry County, Alabama,0,0,0,0,0,0
Houston County, Alabama,897,137,760,22,22,0
Jackson County, Alabama,238,125,113,67,0,67
Jefferson County, Alabama,9953,841,9112,184,18,166
Lamar County, Alabama,0,0,0,0,0,0
Lauderdale County, Alabama,626,52,574,23,9,14
Lawrence County, Alabama,18,5,13,0,0,0
Lee County, Alabama,5742,1167,4575,12,12,0
Limestone County, Alabama,1165,206,959,62,21,41
Lowndes County, Alabama,0,0,0,0,0,0
Macon County, Alabama,38,13,25,0,0,0
Madison County, Alabama,8865,660,8205,332,43,289
Marengo County, Alabama,0,0,0,0,0,0
Marion County, Alabama,96,1,95,0,0,0
Marshall County, Alabama,526,14,512,48,26,22
Mobile County, Alabama,8064,1738,6326,54,5,49
Monroe County, Alabama,116,3,113,0,0,0
Montgomery County, Alabama,5499,443,5056,42,0,42
Morgan County, Alabama,779,428,351,55,6,49
Perry County, Alabama,0,0,0,0,0,0
Pickens County, Alabama,2,0,2,10,10,0
Pike County, Alabama,651,197,454,2,0,2
Randolph County, Alabama,36,0,36,36,0,36
Russell County, Alabama,424,45,379,140,0,140
St. Clair County, Alabama,732,173,559,11,0,11
Shelby County, Alabama,3940,347,3593,56,0,56
Sumter County, Alabama,166,0,166,0,0,0
Talladega County, Alabama,433,47,386,22,4,18
Tallapoosa County, Alabama,160,9,151,0,0,0
Tuscaloosa County, Alabama,2912,776,2136,44,44,0
