County,State,Total Population,Asian Alone,Share Asian Alone,Asian Combo,Share Asian Combo,NHPI Alone,Share NHPI Alone,NHPI Combo,Share NHPI Combo
Autauga County,Alabama,55036,,,824,1.5,,,,
Baldwin County,Alabama,203360,,,2647,1.3,,,,
Barbour County,Alabama,26201,,,,,,,,
Bibb County,Alabama,22580,,,,,,,,
Blount County,Alabama,57667,,,286,0.5,,,,
Bullock County,Alabama,10478,,,,,,,,
Butler County,Alabama,20126,224,1.11,246,1.22,,,,
Calhoun County,Alabama,115527,1149,0.99,1514,1.31,,,,
Chambers County,Alabama,33895,339,1,386,1.14,,,,
Cherokee County,Alabama,25855,,,,,,,,
Chilton County,Alabama,43805,,,236,0.54,,,,
Choctaw County,Alabama,13188,,,,,,,,
Clarke County,Alabama,24625,,,,,,,,
Clay County,Alabama,13407,,,,,,,,
Cleburne County,Alabama,14939,,,,,,,,
Coffee County,Alabama,51073,659,1.29,1073,2.1,,,,
Colbert County,Alabama,54435,274,0.5,432,0.79,,,,
Conecuh County,Alabama,12649,,,,,,,,
Coosa County,Alabama,10955,,,,,,,,
Covington County,Alabama,37519,,,209,0.56,,,,
Crenshaw County,Alabama,13866,194,1.4,203,1.46,,,,
Cullman County,Alabama,81703,528,0.65,528,0.65,,,,
Dale County,Alabama,49393,,,1167,2.36,,,,
Dallas County,Alabama,40755,183,0.45,241,0.59,,,,
DeKalb County,Alabama,71194,,,310,0.44,,,,
Elmore County,Alabama,80989,,,838,1.03,,,,
Escambia County,Alabama,37621,,,,,,,,
Etowah County,Alabama,103132,706,0.68,929,0.9,,,,
Fayette County,Alabama,16657,,,,,,,,
Franklin County,Alabama,31507,117,0.37,,,,,,
Geneva County,Alabama,26572,,,137,0.52,,,,
Greene County,Alabama,8533,,,,,,,,
Hale County,Alabama,14995,,,,,,,,
Henry County,Alabama,17110,,,,,,,,
Houston County,Alabama,104108,899,0.86,1278,1.23,,,,
Jackson County,Alabama,52326,238,0.45,304,0.58,,,,
Jefferson County,Alabama,659460,10187,1.54,12745,1.93,,,463,0.07
Lamar County,Alabama,14021,,,,,,,,
Lauderdale County,Alabama,92590,626,0.68,755,0.82,,,,
Lawrence County,Alabama,33288,,,,,,,,
Lee County,Alabama,156597,6e3,3.83,6639,4.24,,,,
Limestone County,Alabama,91695,1165,1.27,1713,1.87,,,,
Lowndes County,Alabama,10362,,,,,,,,
Macon County,Alabama,19358,,,,,,,,
Madison County,Alabama,353213,9034,2.56,11977,3.39,341,0.1,,
Marengo County,Alabama,19743,,,,,,,,
Marion County,Alabama,30058,,,,,,,,
Marshall County,Alabama,94738,534,0.56,741,0.78,,,,
Mobile County,Alabama,414328,8127,1.96,9354,2.26,,,,
Monroe County,Alabama,21745,116,0.53,116,0.53,,,,
Montgomery County,Alabama,227120,5567,2.45,7156,3.15,,,,
Morgan County,Alabama,119157,779,0.65,1049,0.88,,,,
Perry County,Alabama,9680,,,,,,,,
Pickens County,Alabama,20170,,,,,,,,
Pike County,Alabama,33287,731,2.2,749,2.25,,,,
Randolph County,Alabama,22530,,,,,,,,
Russell County,Alabama,58480,,,785,1.34,140,0.24,166,0.28
Shelby County,Alabama,208721,3973,1.9,5181,2.48,,,,
St. Clair County,Alabama,86937,732,0.84,883,1.02,,,,
Sumter County,Alabama,13084,,,,,,,,
Talladega County,Alabama,80888,469,0.58,609,0.75,,,,
Tallapoosa County,Alabama,40756,,,262,0.64,,,,
Tuscaloosa County,Alabama,204424,3135,1.53,3660,1.79,,,,
Walker County,Alabama,64927,306,0.47,342,0.53,,,,
Washington County,Alabama,16746,,,,,,,,
Wilcox County,Alabama,10919,,,,,,,,
Winston County,Alabama,23968,,,,,,,,
Aleutians East Borough,Alaska,3338,874,26.18,936,28.04,,,,
Aleutians West Census Area,Alaska,5784,2213,38.26,2410,41.67,150,2.59,231,3.99
Anchorage Municipality,Alaska,298225,27815,9.33,35709,11.97,7069,2.37,9515,3.19
Bethel Census Area,Alaska,17957,165,0.92,278,1.55,,,,
Bristol Bay Borough,Alaska,917,,,,,,,,
Denali Borough,Alaska,2303,,,,,,,,
Dillingham Census Area,Alaska,4974,75,1.51,130,2.61,,,,
Fairbanks North Star Borough,Alaska,100031,3132,3.13,4807,4.81,,,873,0.87
Haines Borough,Alaska,2537,,,,,,,,
Hoonah-Angoon Census Area,Alaska,2146,,,,,,,,
Juneau City and Borough,Alaska,32434,2381,7.34,3126,9.64,311,0.96,592,1.83
Kenai Peninsula Borough,Alaska,57961,863,1.49,1469,2.53,191,0.33,,
Ketchikan Gateway Borough,Alaska,13745,1103,8.02,1369,9.96,,,,
Kodiak Island Borough,Alaska,13773,3048,22.13,3254,23.63,,,193,1.4
Kusilvak Census Area,Alaska,8129,41,0.5,49,0.6,,,,
Lake and Peninsula Borough,Alaska,1301,,,,,,,,
Matanuska-Susitna Borough,Alaska,101135,1313,1.3,2783,2.75,,,851,0.84
Nome Census Area,Alaska,9869,,,205,2.08,,,,
North Slope Borough,Alaska,9757,565,5.79,639,6.55,185,1.9,,
