County,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
Abbeville County,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Acadia Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Accomack County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Ada County,Idaho,,,,,,,2944,,,,,,,,,,,,,,,,,
Adair County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Adair County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Adair County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Adair County,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Colorado,,,,,,,2427,,2940,,1199,,,,,,,,,,,,,3739
Adams County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Illinois,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Indiana,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Ohio,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Washington,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,
Addison County,Vermont,,,,,,,,,,,,,,,,,,,,,,,,
Adjuntas Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Aguada Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Aguadilla Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Aguas Buenas Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Aibonito Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Aiken County,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Aitkin County,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,
Alachua County,Florida,,4051,,,,,3897,,,,,,,,,,,,,,,,,
Alamance County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Alameda County,California,,112582,,,,3763,159697,89916,,,12771,19611,4180,,,,,,,5908,,5452,2250,31918
Alamosa County,Colorado,,,,,,,,,,,,,,,,,,,,,,,,
Albany County,New York,,5849,,,,,5626,1683,,,,1663,,,,,,,,,,,,
Albany County,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,
Albemarle County,Virginia,,,,,,,1537,,,,,,,,,,,,,,,,,
Alcona County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Alcorn County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
Aleutians East Borough,Alaska,,,,,,,,814,,,,,,,,,,,,,,,,
Aleutians West Census Area,Alaska,,,,,,,,1881,,,,,,,,,,,,,,,,
Alexander County,Illinois,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County,North Carolina,,,,,,,,,421,,,,,,,,,,,,,,,
Alexandria city,Virginia,,1396,,,,,1497,1917,,,,,,,,,,,,,,,,
Alfalfa County,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,
Alger County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Allamakee County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Allegan County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Allegany County,Maryland,,,,,,,,,,,,,,,,,,,,,,,,
Allegany County,New York,,,,,,,,,,,,,,,,,,,,,,,,
Alleghany County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Alleghany County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny County,Pennsylvania,,14809,,,,,12896,1941,,,1204,3626,,,,,,,,,,,,
Allen County,Indiana,,2450,,,3373,,,,,,,,,,,,,,,,,,,
Allen County,Kansas,,,,,,,,,,,,,,,,,,,,,,,,
Allen County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Allen County,Ohio,,,,,,,,,,,,,,,,,,,,,,,,
Allen Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Allendale County,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Alpena County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Alpine County,California,,,,,,,,,,,,,,,,,,,,,,,,
Amador County,California,,,,,,,,,,,,,,,,,,,,,,,,
Amelia County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Amherst County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Amite County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
Añasco Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
