County,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Autauga County,Alabama,55036,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin County,Alabama,203360,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour County,Alabama,26201,,,,,,,,,,,,,,,,,,,,,,,,,
Bibb County,Alabama,22580,,,,,,,,,,,,,,,,,,,,,,,,,
Blount County,Alabama,57667,,,,,,,,,,,,,,,,,,,,,,,,,
Bullock County,Alabama,10478,,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Alabama,20126,224,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Alabama,115527,1149,,,,,,,,,,,,,,,,,,,,,,,,
Chambers County,Alabama,33895,339,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee County,Alabama,25855,,,,,,,,,,,,,,,,,,,,,,,,,
Chilton County,Alabama,43805,,,,,,,,,,,,,,,,,,,,,,,,,
Choctaw County,Alabama,13188,,,,,,,,,,,,,,,,,,,,,,,,,
Clarke County,Alabama,24625,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County,Alabama,13407,,,,,,,,,,,,,,,,,,,,,,,,,
Cleburne County,Alabama,14939,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee County,Alabama,51073,659,,,,,,,,,,,,,,,,,,,,,,,,
Colbert County,Alabama,54435,274,,,,,,,,,,,,,,,,,,,,,,,,
Conecuh County,Alabama,12649,,,,,,,,,,,,,,,,,,,,,,,,,
Coosa County,Alabama,10955,,,,,,,,,,,,,,,,,,,,,,,,,
Covington County,Alabama,37519,,,,,,,,,,,,,,,,,,,,,,,,,
Crenshaw County,Alabama,13866,194,,,,,,,,,,,,,,,,,,,,,,,,
Cullman County,Alabama,81703,528,,,,,,,,,,,,,,,,,,,,,,,,
Dale County,Alabama,49393,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas County,Alabama,40755,183,,,,,,,,,,,,,,,,,,,,,,,,
DeKalb County,Alabama,71194,,,,,,,,,,,,,,,,,,,,,,,,,
Elmore County,Alabama,80989,,,,,,,,,,,,,,,,,,,,,,,,,
Escambia County,Alabama,37621,,,,,,,,,,,,,,,,,,,,,,,,,
Etowah County,Alabama,103132,706,,,,,,,,,,,,,,,,,,,,,,,,
Fayette County,Alabama,16657,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County,Alabama,31507,117,,,,,,,,,,,,,,,,,,,,,,91.45,,
Geneva County,Alabama,26572,,,,,,,,,,,,,,,,,,,,,,,,,
Greene County,Alabama,8533,,,,,,,,,,,,,,,,,,,,,,,,,
Hale County,Alabama,14995,,,,,,,,,,,,,,,,,,,,,,,,,
Henry County,Alabama,17110,,,,,,,,,,,,,,,,,,,,,,,,,
Houston County,Alabama,104108,899,,,,,,,,,,,,,,,,,,,,,,,,
Jackson County,Alabama,52326,238,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County,Alabama,659460,10187,27.5,,,,,23.87,,,,,,,,,,,,,,,,,,
Lamar County,Alabama,14021,,,,,,,,,,,,,,,,,,,,,,,,,
Lauderdale County,Alabama,92590,626,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence County,Alabama,33288,,,,,,,,,,,,,,,,,,,,,,,,,
Lee County,Alabama,156597,6e3,,,,,,18.97,,,,,44.93,,,,,,,,,,,,,
Limestone County,Alabama,91695,1165,,,,,,,,,,,,,,,,,,,,,,,,
Lowndes County,Alabama,10362,,,,,,,,,,,,,,,,,,,,,,,,,
Macon County,Alabama,19358,,,,,,,,,,,,,,,,,,,,,,,,,
Madison County,Alabama,353213,9034,20.14,,,,,,,,,,,,,,,,,,,,,,,
Marengo County,Alabama,19743,,,,,,,,,,,,,,,,,,,,,,,,,
Marion County,Alabama,30058,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall County,Alabama,94738,534,,,,,,,,,,,,,,,,,,,,,,,,
Mobile County,Alabama,414328,8127,,,,,,,,,,,,,,,,,,,,,,,,30.22
Monroe County,Alabama,21745,116,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery County,Alabama,227120,5567,,,,,,,,,,,43.94,,,,,,,,,,,,,
Morgan County,Alabama,119157,779,,,,,,,,,,,,,,,,,,,,,,,,
Perry County,Alabama,9680,,,,,,,,,,,,,,,,,,,,,,,,,
Pickens County,Alabama,20170,,,,,,,,,,,,,,,,,,,,,,,,,
Pike County,Alabama,33287,731,,,,,,,,,,,,,,,,,,,,,,,,
Randolph County,Alabama,22530,,,,,,,,,,,,,,,,,,,,,,,,,
Russell County,Alabama,58480,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County,Alabama,86937,732,,,,,,,,,,,,,,,,,,,,,,,,
Shelby County,Alabama,208721,3973,,,,,,,,,,,,,,,,,,,,,,,,
Sumter County,Alabama,13084,,,,,,,,,,,,,,,,,,,,,,,,,
Talladega County,Alabama,80888,469,,,,,,,,,,,,,,,,,,,,,,,,
Tallapoosa County,Alabama,40756,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscaloosa County,Alabama,204424,3135,,,,,,,,,,,,,,,,,,,,,,,,
Walker County,Alabama,64927,306,,,,,,,,,,,,,,,,,,,,,,,,
Washington County,Alabama,16746,,,,,,,,,,,,,,,,,,,,,,,,,
Wilcox County,Alabama,10919,,,,,,,,,,,,,,,,,,,,,,,,,
Winston County,Alabama,23968,,,,,,,,,,,,,,,,,,,,,,,,,
Aleutians East Borough,Alaska,3338,874,,,,,,,93.14,,,,,,,,,,,,,,,,,
Aleutians West Census Area,Alaska,5784,2213,,,,,,,85,,,,,,,,,,,,,,,,,
