County,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
Abbeville County,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Acadia Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Accomack County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Ada County,Idaho,,2280,,,,,4009,3183,,,2209,,,,,,,,,,,,,
Adair County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Adair County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Adair County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Adair County,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Colorado,,,,,,,3041,,2997,,2367,1530,,,,,,,,,,,,4134
Adams County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Illinois,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Indiana,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Ohio,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Washington,,,,,,,,,,,,,,,,,,,,,,,,
Adams County,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,
Addison County,Vermont,,,,,,,,,,,,,,,,,,,,,,,,
Adjuntas Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Aguada Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Aguadilla Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Aguas Buenas Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Aibonito Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Aiken County,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Aitkin County,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,
Alachua County,Florida,,4486,,,,,4724,2268,,,,,,,,,,,,,,,,
Alamance County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Alameda County,California,,117516,,,,4707,182096,110680,,2838,24223,23471,4834,,,,,12860,,6257,,5915,3157,37619
Alamosa County,Colorado,,,,,,,,,,,,,,,,,,,,,,,,
Albany County,New York,,6438,,,,,6266,1883,,,,1951,,,,,,,,,,,,
Albany County,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,
Albemarle County,Virginia,,,,,,,1767,,,,,,,,,,,,,,,,,
Alcona County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Alcorn County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
Aleutians East Borough,Alaska,,,,,,,,856,,,,,,,,,,,,,,,,
Aleutians West Census Area,Alaska,,,,,,,,2e3,,,,,,,,,,,,,,,,262
Alexander County,Illinois,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County,North Carolina,,,,,,,,,421,,,,,,,,,,,,,,,
Alexandria city,Virginia,,1820,,,,,1998,2648,,,,1687,,,,,,,,,,,,
Alfalfa County,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,
Alger County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Allamakee County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Allegan County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Allegany County,Maryland,,,,,,,,,,,,,,,,,,,,,,,,
Allegany County,New York,,,,,,,,,,,,,,,,,,,,,,,,
Alleghany County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Alleghany County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny County,Pennsylvania,,15860,,,,,14289,3528,,,2110,4714,,,,,,2124,,,,,,2919
Allen County,Indiana,,2718,,,3427,,,,,,,,,,,,,,,,,,,
Allen County,Kansas,,,,,,,,,,,,,,,,,,,,,,,,
Allen County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Allen County,Ohio,,,,,,,,,,,,,,,,,,,,,,,,
Allen Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Allendale County,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Alpena County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Alpine County,California,,,,,,,,,,,,,,,,,,,,,,,,
Amador County,California,,,,,,,,,,,,,,,,,,,,,,,,
Amelia County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Amherst County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Amite County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
Añasco Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
