County,State,Total Population,Total NHPI Alone,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
Autauga County,Alabama,55036,,,,,,,,,,,,
Baldwin County,Alabama,203360,,,,,,,,,,,,
Barbour County,Alabama,26201,,,,,,,,,,,,
Bibb County,Alabama,22580,,,,,,,,,,,,
Blount County,Alabama,57667,,,,,,,,,,,,
Bullock County,Alabama,10478,,,,,,,,,,,,
Butler County,Alabama,20126,,,,,,,,,,,,
Calhoun County,Alabama,115527,,,,,,,,,,,,
Chambers County,Alabama,33895,,,,,,,,,,,,
Cherokee County,Alabama,25855,,,,,,,,,,,,
Chilton County,Alabama,43805,,,,,,,,,,,,
Choctaw County,Alabama,13188,,,,,,,,,,,,
Clarke County,Alabama,24625,,,,,,,,,,,,
Clay County,Alabama,13407,,,,,,,,,,,,
Cleburne County,Alabama,14939,,,,,,,,,,,,
Coffee County,Alabama,51073,,,,,,,,,,,,
Colbert County,Alabama,54435,,,,,,,,,,,,
Conecuh County,Alabama,12649,,,,,,,,,,,,
Coosa County,Alabama,10955,,,,,,,,,,,,
Covington County,Alabama,37519,,,,,,,,,,,,
Crenshaw County,Alabama,13866,,,,,,,,,,,,
Cullman County,Alabama,81703,,,,,,,,,,,,
Dale County,Alabama,49393,,,,,,,,,,,,
Dallas County,Alabama,40755,,,,,,,,,,,,
DeKalb County,Alabama,71194,,,,,,,,,,,,
Elmore County,Alabama,80989,,,,,,,,,,,,
Escambia County,Alabama,37621,,,,,,,,,,,,
Etowah County,Alabama,103132,,,,,,,,,,,,
Fayette County,Alabama,16657,,,,,,,,,,,,
Franklin County,Alabama,31507,,,,,,,,,,,,
Geneva County,Alabama,26572,,,,,,,,,,,,
Greene County,Alabama,8533,,,,,,,,,,,,
Hale County,Alabama,14995,,,,,,,,,,,,
Henry County,Alabama,17110,,,,,,,,,,,,
Houston County,Alabama,104108,,,,,,,,,,,,
Jackson County,Alabama,52326,,,,,,,,,,,,
Jefferson County,Alabama,659460,,,,,,,,,,,,
Lamar County,Alabama,14021,,,,,,,,,,,,
Lauderdale County,Alabama,92590,,,,,,,,,,,,
Lawrence County,Alabama,33288,,,,,,,,,,,,
Lee County,Alabama,156597,,,,,,,,,,,,
Limestone County,Alabama,91695,,,,,,,,,,,,
Lowndes County,Alabama,10362,,,,,,,,,,,,
Macon County,Alabama,19358,,,,,,,,,,,,
Madison County,Alabama,353213,341,,,,,,,,,,,
Marengo County,Alabama,19743,,,,,,,,,,,,
Marion County,Alabama,30058,,,,,,,,,,,,
Marshall County,Alabama,94738,,,,,,,,,,,,
Mobile County,Alabama,414328,,,,,,,,,,,,
Monroe County,Alabama,21745,,,,,,,,,,,,
Montgomery County,Alabama,227120,,,,,,,,,,,,
Morgan County,Alabama,119157,,,,,,,,,,,,
Perry County,Alabama,9680,,,,,,,,,,,,
Pickens County,Alabama,20170,,,,,,,,,,,,
Pike County,Alabama,33287,,,,,,,,,,,,
Randolph County,Alabama,22530,,,,,,,,,,,,
Russell County,Alabama,58480,140,,,,,,,,,,,
St. Clair County,Alabama,86937,,,,,,,,,,,,
Shelby County,Alabama,208721,,,,,,,,,,,,
Sumter County,Alabama,13084,,,,,,,,,,,,
Talladega County,Alabama,80888,,,,,,,,,,,,
Tallapoosa County,Alabama,40756,,,,,,,,,,,,
Tuscaloosa County,Alabama,204424,,,,,,,,,,,,
Walker County,Alabama,64927,,,,,,,,,,,,
Washington County,Alabama,16746,,,,,,,,,,,,
Wilcox County,Alabama,10919,,,,,,,,,,,,
Winston County,Alabama,23968,,,,,,,,,,,,
Aleutians East Borough,Alaska,3338,,,,,,,,,,,,
Aleutians West Census Area,Alaska,5784,150,,,,,,,,,,,
Anchorage Municipality,Alaska,298225,7069,,,,,,,,,64.08,,
Bethel Census Area,Alaska,17957,,,,,,,,,,,,
Bristol Bay Borough,Alaska,917,,,,,,,,,,,,
Denali Borough,Alaska,2303,,,,,,,,,,,,
Dillingham Census Area,Alaska,4974,,,,,,,,,,,,
Fairbanks North Star Borough,Alaska,100031,,,,,,,,,,,,
Haines Borough,Alaska,2537,,,,,,,,,,,,
Hoonah-Angoon Census Area,Alaska,2146,,,,,,,,,,,,
Juneau City and Borough,Alaska,32434,311,,,,,,,,,,,
Kenai Peninsula Borough,Alaska,57961,191,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,13745,,,,,,,,,,,,
Kodiak Island Borough,Alaska,13773,,,,,,,,,,,,
Kusilvak Census Area,Alaska,8129,,,,,,,,,,,,
Lake and Peninsula Borough,Alaska,1301,,,,,,,,,,,,
Matanuska-Susitna Borough,Alaska,101135,,,,,,,,,,,,
Nome Census Area,Alaska,9869,,,,,,,,,,,,
North Slope Borough,Alaska,9757,185,,,,,,,,,,,
Northwest Arctic Borough,Alaska,7715,,,,,,,,,,,,
Petersburg Borough,Alaska,3275,,,,,,,,,,,,
Prince of Wales-Hyder Census Area,Alaska,6473,40,,,,,,,,,,,
Sitka City and Borough,Alaska,8810,,,,,,,,,,,,
Skagway Municipality,Alaska,1038,,,,,,,,,,,,
Southeast Fairbanks Census Area,Alaska,6889,,,,,,,,,,,,
Valdez-Cordova Census Area,Alaska,9439,58,,,,,,,,,,,
Wrangell City and Borough,Alaska,2475,,,,,,,,,,,,
Yakutat City and Borough,Alaska,682,,,,,,,,,,,,
Yukon-Koyukuk Census Area,Alaska,5453,,,,,,,,,,,,
Apache County,Arizona,71602,,,,,,,,,,,,
Cochise County,Arizona,126516,507,,,,,,,,,,,
Coconino County,Arizona,138639,196,,,,,,,,,,,
Gila County,Arizona,53145,,,,,,,,,,,,
Graham County,Arizona,37700,,,,,,,,,,,,
Greenlee County,Arizona,9368,,,,,,,,,,,,
La Paz County,Arizona,20477,,,,,,,,,,,,
