County,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
Abbeville County,South Carolina,,,,,
Acadia Parish,Louisiana,,,,,
Accomack County,Virginia,,,,,
Ada County,Idaho,7719,,1439,,3972
Adair County,Iowa,,,,,
Adair County,Kentucky,,,,,
Adair County,Missouri,,,,,
Adair County,Oklahoma,97,,,,
Adams County,Colorado,12520,2942,2884,2676,4018
Adams County,Idaho,,,,,
Adams County,Illinois,,,,,
Adams County,Indiana,,,,,
Adams County,Iowa,,,,,
Adams County,Mississippi,,,,,
Adams County,Nebraska,,,,,
Adams County,North Dakota,,,,,
Adams County,Ohio,,,,,
Adams County,Pennsylvania,446,,,,
Adams County,Washington,191,,,,
Adams County,Wisconsin,96,,,,
Addison County,Vermont,,,,,
Adjuntas Municipio,Puerto Rico,,,,,
Aguada Municipio,Puerto Rico,,,,,
Aguadilla Municipio,Puerto Rico,,,,,
Aguas Buenas Municipio,Puerto Rico,,,,,
Aibonito Municipio,Puerto Rico,,,,,
Aiken County,South Carolina,1218,,,,
Aitkin County,Minnesota,,,,,
Alachua County,Florida,8847,,,,6391
Alamance County,North Carolina,1559,,,,
Alameda County,California,340159,41354,46995,63390,188420
Alamosa County,Colorado,,,,,
Albany County,New York,11549,,,,7206
Albany County,Wyoming,637,,,,530
Albemarle County,Virginia,3019,,,,2097
Alcona County,Michigan,44,,,,
Alcorn County,Mississippi,,,,,
Aleutians East Borough,Alaska,757,,,,
Aleutians West Census Area,Alaska,1646,,518,566,
Alexander County,Illinois,,,,,
Alexander County,North Carolina,,,,,
Alexandria city,Virginia,7971,,,,5298
Alfalfa County,Oklahoma,,,,,
Alger County,Michigan,,,,,
Allamakee County,Iowa,,,,,
Allegan County,Michigan,,,,,
Allegany County,Maryland,348,,,,
Allegany County,New York,365,,,,
Alleghany County,North Carolina,,,,,
Alleghany County,Virginia,,,,,
Allegheny County,Pennsylvania,28060,3159,1983,2104,20814
Allen County,Indiana,7364,2491,,,2589
Allen County,Kansas,,,,,
Allen County,Kentucky,,,,,
Allen County,Ohio,563,,,,
Allen Parish,Louisiana,,,,,
Allendale County,South Carolina,,,,,
Alpena County,Michigan,,,,,
Alpine County,California,,,,,
Amador County,California,446,,,,
Amelia County,Virginia,,,,,
Amherst County,Virginia,,,,,
Amite County,Mississippi,,,,,
Añasco Municipio,Puerto Rico,,,,,
Anchorage Municipality,Alaska,17183,3620,4153,4880,4530
Anderson County,Kansas,,,,,
Anderson County,Kentucky,,,,,
Anderson County,South Carolina,1153,,,,
Anderson County,Tennessee,830,,,,587
Anderson County,Texas,252,,,,
Andrew County,Missouri,,,,,
Andrews County,Texas,,,,,
Androscoggin County,Maine,543,,,,
Angelina County,Texas,658,,,,
Anne Arundel County,Maryland,15366,1647,2301,3440,7978
Anoka County,Minnesota,9117,1670,1525,2347,3575
Anson County,North Carolina,,,,,
Antelope County,Nebraska,,,,,
Antrim County,Michigan,,,,,
Apache County,Arizona,,,,,
Appanoose County,Iowa,,,,,
Appling County,Georgia,,,,,
Appomattox County,Virginia,,,,,
Aransas County,Texas,436,,,,
Arapahoe County,Colorado,24513,3593,4034,4673,12213
Archer County,Texas,,,,,
Archuleta County,Colorado,,,,,
Arecibo Municipio,Puerto Rico,,,,,
Arenac County,Michigan,39,,,,
Arkansas County,Arkansas,,,,,
Arlington County,Virginia,18118,,,1837,13595
Armstrong County,Pennsylvania,129,,,,
Armstrong County,Texas,,,,,
Aroostook County,Maine,190,,,,
Arroyo Municipio,Puerto Rico,,,,,
Arthur County,Nebraska,,,,,
Ascension Parish,Louisiana,828,,,,
Ashe County,North Carolina,,,,,
Ashland County,Ohio,,,,,
Ashland County,Wisconsin,,,,,
Ashley County,Arkansas,,,,,
Ashtabula County,Ohio,364,,,,
Asotin County,Washington,,,,,
Assumption Parish,Louisiana,,,,,
Atascosa County,Texas,,,,,
Atchison County,Kansas,,,,,
Atchison County,Missouri,,,,,
Athens County,Ohio,891,,,,714
Atkinson County,Georgia,,,,,
Atlantic County,New Jersey,15471,3596,3247,3139,5489
Atoka County,Oklahoma,,,,,
Attala County,Mississippi,,,,,
Audrain County,Missouri,,,,,
Audubon County,Iowa,,,,,
Auglaize County,Ohio,,,,,
Augusta County,Virginia,,,,,
Aurora County,South Dakota,,,,,
Austin County,Texas,,,,,
Autauga County,Alabama,,,,,
Avery County,North Carolina,,,,,
Avoyelles Parish,Louisiana,,,,,
Baca County,Colorado,,,,,
Bacon County,Georgia,,,,,
Bailey County,Texas,,,,,
Baker County,Florida,125,,,,
Baker County,Georgia,,,,,
Baker County,Oregon,,,,,
Baldwin County,Alabama,,,,,
Baldwin County,Georgia,,,,,
Ballard County,Kentucky,,,,,
Baltimore city,Maryland,11294,,,,8219
Baltimore County,Maryland,33237,4848,4593,5146,18650
Bamberg County,South Carolina,,,,,
Bandera County,Texas,,,,,
Banks County,Georgia,145,,,,
Banner County,Nebraska,,,,,
Bannock County,Idaho,663,,,,
Baraga County,Michigan,,,,,
Barber County,Kansas,,,,,
Barbour County,Alabama,,,,,
Barbour County,West Virginia,,,,,
