District,State,Asian Alone Total,Asian Alone LEP,LEP Share Asian Alone,NHPI Alone Total,NHPI Alone LEP,LEP Share NHPI Alone
Delegate District (at Large),District of Columbia,24599,4270,30.41,289,,
District (at Large),Alaska,43120,17423,54.08,8210,,
District (at Large),Delaware,34382,9327,35.46,382,,
District (at Large),Montana,7266,1693,47.58,519,,
District (at Large),North Dakota,9600,3211,45.51,334,,
District (at Large),South Dakota,10808,4739,57.98,357,,
District (at Large),Vermont,9267,3076,45.76,206,,
District (at Large),Wyoming,4933,1534,50.98,463,,
District 1,Alabama,9403,3406,45.32,108,,
District 1,Arizona,11333,3259,42.14,1340,,
District 1,Arkansas,3364,1169,51.86,327,,
District 1,California,18494,6526,49.32,1050,,
District 1,Colorado,26181,9103,48.81,969,,
District 1,Connecticut,33600,11223,42.28,124,,
District 1,Florida,18151,5673,46.1,1139,,
District 1,Georgia,12231,4766,50.03,864,,
District 1,Hawaii,343491,91045,59.3,52313,13029,54.63
District 1,Idaho,10151,2462,49.46,1198,,
District 1,Illinois,12977,3679,36.06,118,,
District 1,Indiana,9001,2811,44.01,376,,
District 1,Iowa,11014,3687,49.68,870,,
District 1,Kansas,11171,5212,60.66,788,,
District 1,Kentucky,3986,1182,44.45,445,,
District 1,Louisiana,16861,6036,46.89,190,,
District 1,Maine,9838,3059,47.43,81,,
District 1,Maryland,14703,4690,44.66,309,,
District 1,Massachusetts,14101,4939,46.98,241,,
District 1,Michigan,4401,1579,49.87,296,,
District 1,Minnesota,16781,5918,48.02,127,,
District 1,Mississippi,5361,,,191,,
District 1,Missouri,20763,7196,45.14,247,,
District 1,Nebraska,15400,7284,57.06,449,,
District 1,Nevada,56002,21058,48.96,4699,,
District 1,New Hampshire,15164,5131,44.22,116,,
District 1,New Jersey,35538,13992,49.66,211,,
District 1,New Mexico,15411,4562,43.6,486,,
District 1,New York,28499,8779,39.66,177,,
District 1,North Carolina,14078,3542,36.31,335,,
District 1,Ohio,22840,5731,31.51,491,,
District 1,Oklahoma,20032,7852,49.4,548,,
District 1,Oregon,57940,16046,38.13,2699,,
District 1,Pennsylvania,48721,24365,59.45,308,,
District 1,Rhode Island,17884,5664,43.21,577,,
District 1,South Carolina,12961,3313,37.28,277,,
District 1,Tennessee,4904,1594,47.31,143,,
District 1,Texas,7870,2223,38.71,362,,
District 1,Utah,10432,2880,46.47,2474,,
District 1,Virginia,23019,6659,39.74,493,,
District 1,Washington,71168,18075,33.61,1399,,
District 1,West Virginia,5504,,,198,,
District 1,Wisconsin,12266,3352,38.52,181,,
District 10,California,47941,15653,43.54,4687,,
District 10,Florida,39385,10844,40.64,661,,
District 10,Georgia,14401,3881,35.64,380,,
District 10,Illinois,69366,20244,36.12,452,,
District 10,Michigan,11264,3003,37.13,198,,
District 10,New Jersey,51477,16427,41.14,234,,
District 10,New York,130578,61067,57.77,77,,
District 10,North Carolina,11488,3714,41.2,221,,
District 10,Ohio,15137,5508,46.01,232,,
District 10,Pennsylvania,6306,2134,48.97,132,,
District 10,Texas,42608,12163,36.33,245,,
District 10,Virginia,107720,25468,31.2,608,,
District 10,Washington,45144,16475,51.97,11196,,
District 11,California,99025,31071,45.57,3383,,
District 11,Florida,9182,,,139,,
District 11,Georgia,24086,6883,37.82,333,,
District 11,Illinois,51812,12168,30.07,178,,
District 11,Michigan,66664,18755,34.41,148,,
District 11,New Jersey,70184,17333,32.46,116,,
District 11,New York,94730,46760,57.68,283,,
District 11,North Carolina,8217,2942,48.72,464,,
District 11,Ohio,16785,5821,45.66,110,,
District 11,Pennsylvania,10879,3925,45.93,158,,
District 11,Texas,7413,2567,47.41,201,,
District 11,Virginia,135673,46226,41.98,709,,
District 12,California,234744,98305,56.54,2969,,
District 12,Florida,18737,4867,37.59,427,,
District 12,Georgia,11612,4038,48.59,466,,
District 12,Illinois,7838,2423,44.66,140,,
District 12,Michigan,36035,10678,38.04,195,,
District 12,New Jersey,118063,26971,29.26,271,,
District 12,New York,96996,25742,39.47,423,,
District 12,North Carolina,42048,16732,48.29,435,,
District 12,Ohio,27992,7323,34.72,148,,
District 12,Pennsylvania,12257,2974,33.8,238,,
District 12,Texas,25238,9734,49.88,1e3,,
District 13,California,150594,63836,56.85,4324,,
District 13,Florida,23788,8701,48.27,659,,
District 13,Georgia,18613,6823,44.72,111,,
District 13,Illinois,25651,8848,42.73,258,,
District 13,Michigan,8618,2946,42.87,268,,
District 13,New York,35216,13670,49.31,635,,
District 13,North Carolina,24278,9374,46.78,236,,
District 13,Ohio,11282,5487,60.89,112,,
District 13,Pennsylvania,62916,28200,52.94,362,,
District 13,Texas,13289,6620,59.99,642,,
District 14,California,239851,76667,43.81,9640,1923,29.74
District 14,Florida,31282,8432,37.21,381,,
District 14,Georgia,7070,2141,45.21,262,,
District 14,Illinois,30079,6447,29.15,195,,
District 14,Michigan,28779,10894,44.59,92,,
District 14,New York,117510,60268,58.4,467,,
District 14,Ohio,13956,3733,36.87,100,,
District 14,Pennsylvania,21204,7672,45.66,186,,
District 14,Texas,21323,6777,41.73,253,,
District 15,California,233940,68221,38.35,7555,,
District 15,Florida,21833,5527,36.8,432,,
District 15,Illinois,4634,1345,42.47,308,,
District 15,New York,13244,6360,59.09,461,,
District 15,Ohio,16463,5382,44.02,136,,
District 15,Pennsylvania,18938,5342,39,154,,
District 15,Texas,7770,2169,35.61,316,,
District 16,California,61256,24038,47.83,1088,,
District 16,Florida,15403,4150,38.02,702,,
District 16,Illinois,9623,2718,40.31,181,,
District 16,New York,36876,9989,37.67,316,,
District 16,Ohio,14697,3566,32.6,186,,
District 16,Pennsylvania,12808,5135,55.46,149,,
District 16,Texas,9025,3064,45.46,885,,
District 17,California,380651,118436,37.61,3725,,
District 17,Florida,9273,2958,45.16,290,,
District 17,Illinois,9136,3250,47.18,172,,
District 17,New York,42185,11679,37.24,77,,
District 17,Pennsylvania,12485,4672,50.27,192,,
District 17,Texas,33214,12941,47.5,291,,
District 18,California,156948,38979,35.15,2199,,
District 18,Florida,15844,4298,40.79,616,,
District 18,Illinois,17494,4255,31.63,248,,
District 18,New York,21363,5969,39.29,331,,
District 18,Pennsylvania,13444,3899,36.86,106,,
District 18,Texas,27550,9951,44.41,806,,
District 19,California,202143,83669,51.73,3164,,
District 19,Florida,11130,2919,42.81,364,,
District 19,New York,11185,3417,42.51,147,,
District 19,Texas,9700,3167,42.78,374,,
District 2,Alabama,7086,3416,60.96,129,,
District 2,Arizona,20861,6236,44.45,1634,,
District 2,Arkansas,11306,3517,39.97,327,,
District 2,California,26072,7012,44.75,1426,,
