District,State,Total Population,Asian Alone,Share Asian Alone,Asian Combo,Share Asian Combo,NHPI Alone,Share NHPI Alone,NHPI Combo,Share NHPI Combo
District 1,Alabama,702730,9981,1.42,12490,1.78,,,,
District 2,Alabama,681443,7505,1.1,11099,1.63,,,,
District 3,Alabama,703772,12013,1.71,14253,2.03,,,,
District 4,Alabama,683508,4190,0.61,5484,0.8,,,,
District 5,Alabama,708691,11842,1.67,15798,2.23,548,0.08,,
District 6,Alabama,698968,11941,1.71,15287,2.19,,,,
District 7,Alabama,671659,5343,0.8,6484,0.97,,,,
District (at Large),Alaska,738565,45604,6.17,59965,8.12,9075,1.23,13910,1.88
District 1,Arizona,741377,11912,1.61,17241,2.33,1421,0.19,3448,0.47
District 2,Arizona,717718,21725,3.03,32393,4.51,1762,0.25,3803,0.53
District 3,Arizona,751029,13150,1.75,18291,2.44,,,2007,0.27
District 4,Arizona,749187,9482,1.27,13657,1.82,,,2649,0.35
District 5,Arizona,782680,36219,4.63,44648,5.7,1892,0.24,3912,0.5
District 6,Arizona,762220,36078,4.73,45079,5.91,,,1913,0.25
District 7,Arizona,782330,19391,2.48,24755,3.16,1830,0.23,3735,0.48
District 8,Arizona,761786,27372,3.59,36768,4.83,,,3795,0.5
District 9,Arizona,761619,38088,5,47381,6.22,2448,0.32,4561,0.6
District 1,Arkansas,723743,3575,0.49,5193,0.72,,,,
District 2,Arkansas,757113,11803,1.56,15377,2.03,,,,
District 3,Arkansas,782339,22598,2.89,26634,3.4,5888,0.75,7200,0.92
District 4,Arkansas,714749,4392,0.61,5987,0.84,,,,
District 1,California,704958,19518,2.77,27312,3.87,1140,0.16,3438,0.49
District 10,California,737719,50577,6.86,64283,8.71,4917,0.67,9910,1.34
District 11,California,749531,103627,13.83,127638,17.03,3542,0.47,7761,1.04
District 12,California,752652,241935,32.14,265354,35.26,3096,0.41,5812,0.77
District 13,California,750102,156153,20.82,181297,24.17,4612,0.61,8657,1.15
District 14,California,750274,251165,33.48,276893,36.91,10407,1.39,15341,2.04
District 15,California,764963,248958,32.55,276616,36.16,7915,1.03,14490,1.89
District 16,California,725356,67145,9.26,74754,10.31,,,3512,0.48
District 17,California,762175,407299,53.44,430215,56.45,3837,0.5,7315,0.96
District 18,California,735753,166259,22.6,190811,25.93,,,5026,0.68
District 19,California,760615,211902,27.86,232289,30.54,3314,0.44,6401,0.84
District 2,California,717270,26854,3.74,38780,5.41,,,3708,0.52
District 20,California,734923,38568,5.25,51921,7.06,2346,0.32,5510,0.75
District 21,California,712221,22573,3.17,27744,3.9,,,2517,0.35
District 22,California,748078,59218,7.92,70035,9.36,1463,0.2,3674,0.49
District 23,California,738134,38560,5.22,47339,6.41,1169,0.16,3407,0.46
District 24,California,732284,34337,4.69,45785,6.25,,,3492,0.48
District 25,California,72e4,59434,8.25,72722,10.1,,,3924,0.55
District 26,California,725161,49587,6.84,62669,8.64,1447,0.2,3619,0.5
District 27,California,719377,276702,38.46,290704,40.41,,,3935,0.55
District 28,California,717921,96796,13.48,111755,15.57,,,2865,0.4
District 29,California,721965,56213,7.79,62641,8.68,,,1962,0.27
District 3,California,730723,81571,11.16,100284,13.72,3897,0.53,8328,1.14
District 30,California,758784,96355,12.7,113878,15.01,,,3150,0.42
District 31,California,740071,57988,7.84,69832,9.44,,,4217,0.57
District 32,California,721884,131134,18.17,140387,19.45,,,3625,0.5
District 33,California,715197,103305,14.44,125936,17.61,,,3802,0.53
District 34,California,728048,142527,19.58,150245,20.64,1749,0.24,2831,0.39
District 35,California,735165,51637,7.02,60453,8.22,,,4855,0.66
District 36,California,740835,24699,3.33,31948,4.31,,,3274,0.44
District 37,California,721893,73754,10.22,86149,11.93,,,2427,0.34
District 38,California,720150,111176,15.44,121605,16.89,,,3846,0.53
District 39,California,726854,222920,30.67,237853,32.72,,,4539,0.62
District 4,California,726653,36141,4.97,48973,6.74,,,5061,0.7
District 40,California,714946,18243,2.55,21058,2.95,,,2624,0.37
District 41,California,747233,42176,5.64,51175,6.85,2362,0.32,4557,0.61
District 42,California,777599,72125,9.28,90664,11.66,2908,0.37,7322,0.94
District 43,California,726570,93352,12.85,106445,14.65,,,5687,0.78
District 44,California,723533,42736,5.91,48503,6.7,4419,0.61,6145,0.85
