District,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
Delegate District (at Large),District of Columbia,,6190,,,,,6644,3027,,,1285,2794,,,,,,,,,,,,2e3
District (at Large),Alaska,,,,,,,2071,25855,3979,,1526,4849,,,,,,,,,,,,
District (at Large),Delaware,,15455,,,,,8694,3986,,,,2370,,,,,,,,,,,,
District (at Large),Montana,,,,,,,1748,1611,,,,1310,,,,,,,,,,,,
District (at Large),North Dakota,,,,,,,,2205,,,,,,,,,,,,,,,,
District (at Large),South Dakota,,,,,2152,,1851,1340,,,,1084,,,,,,,,,,,,
District (at Large),Vermont,,1640,,,,,2462,,,,,,,,,,,,,,,,,
District (at Large),Wyoming,,,,,,,,1462,,,,,,,,,,,,,,,,
District 1,Alabama,,,,,,,,,,,,,,,,,,,,,,,,2727
District 1,Arizona,,1358,,,,,2400,2677,,,,,,,,,,,,,,,,
District 1,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,
District 1,California,,,,,,,2810,2775,5349,,1117,,,,,,,,,,,,,
District 1,Colorado,,3386,,,,,5265,1893,,,1697,2288,,,,,,,,,,,,6751
District 1,Connecticut,,16543,,,,,5061,1903,,,,2051,,,,,,,,,,,,3567
District 1,Florida,,,,,,,1756,6209,,,1240,2198,,,,,,,,,,,,3839
District 1,Georgia,,3134,,,,,2474,1872,,,,,,,,,,,,,,,,1692
District 1,Hawaii,,1746,,,,,47904,118307,,,120791,19537,,,,,1417,,,,,,1196,10088
District 1,Idaho,,,,,,,3481,1954,,,1313,,,,,,,,,,,,,
District 1,Illinois,,3576,,,,,4339,2433,,,,1034,,,,,,,,,,,,
District 1,Indiana,,2610,,,,,1756,2194,,,,,,,,,,,,,,,,
District 1,Iowa,,2678,,,1654,,2248,813,,,,1651,,,,,,,,,,,,
District 1,Kansas,,,,,,,3016,1161,,,,1197,,,,,,,,,,,,2248
District 1,Kentucky,,,,,,,1147,,,,,,,,,,,,,,,,,
District 1,Louisiana,,3159,,,,,3983,1868,,,,,,,,,,,,,,,,5025
District 1,Maine,,,,,,,2199,1357,,,,,,,,,,,,,,,,
District 1,Maryland,,3947,,,,,2461,2743,,,,2749,,,,,,,,,,,,
District 1,Massachusetts,,2771,,,,,3414,,,,,,,,,,,,,,,,,2211
District 1,Michigan,,,,,,,1234,602,,,,469,,,,,,,,,,,,
District 1,Minnesota,,2188,,,,,3340,,,,,1517,2200,,,,,,,,,,,1674
District 1,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
District 1,Missouri,,5648,,,,,5788,1984,,,,1675,,,,,,,,,,,,3410
District 1,Nebraska,,,,,,,2970,,,,,1314,,,,,,,,,,,,5882
District 1,Nevada,,,,,,,9522,30854,,,2258,3065,,,,,,,,,,,,3233
