District,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Delegate District (at Large),District of Columbia,672391,25558,24.22,,,,,26,11.84,,,5.03,10.93,,,,,,,,,,,,,7.83
District (at Large),Alaska,738565,45604,,,,,,4.54,56.69,8.73,,3.35,10.63,,,,,,,,,,,,,
District (at Large),Delaware,943732,36553,42.28,,,,,23.78,10.9,,,,6.48,,,,,,,,,,,,,
District (at Large),Montana,1029862,7448,,,,,,23.47,21.63,,,,17.59,,,,,,,,,,,,,
District (at Large),North Dakota,745475,10197,,,,,,,21.62,,,,,,,,,,,,,,,,,
District (at Large),South Dakota,855444,11693,,,,18.4,,15.83,11.46,,,,9.27,,,,,,,,,,,,,
District (at Large),Vermont,624636,9680,16.94,,,,,25.43,,,,,,,,,,,,,,,,,,
District (at Large),Wyoming,583200,5102,,,,,,,28.66,,,,,,,,,,,,,,,,,
District 1,Alabama,702730,9981,,,,,,,,,,,,,,,,,,,,,,,,27.32
District 1,Arizona,741377,11912,11.4,,,,,20.15,22.47,,,,,,,,,,,,,,,,,
District 1,Arkansas,723743,3575,,,,,,,,,,,,,,,,,,,,,,,,
District 1,California,704958,19518,,,,,,14.4,14.22,27.41,,5.72,,,,,,,,,,,,,,
District 1,Colorado,802167,27543,12.29,,,,,19.12,6.87,,,6.16,8.31,,,,,,,,,,,,,24.51
District 1,Connecticut,715329,35877,46.11,,,,,14.11,5.3,,,,5.72,,,,,,,,,,,,,9.94
District 1,Florida,748579,18873,,,,,,9.3,32.9,,,6.57,11.65,,,,,,,,,,,,,20.34
District 1,Georgia,727997,12775,24.53,,,,,19.37,14.65,,,,,,,,,,,,,,,,,13.24
District 1,Hawaii,711225,356699,0.49,,,,,13.43,33.17,,,33.86,5.48,,,,,0.4,,,,,,0.34,8.98,2.83
District 1,Idaho,849292,10605,,,,,,32.82,18.43,,,12.38,,,,,,,,,,,,,,
District 1,Illinois,712456,13287,26.91,,,,,32.66,18.31,,,,7.78,,,,,,,,,,,,,
District 1,Indiana,716518,9499,27.48,,,,,18.49,23.1,,,,,,,,,,,,,,,,,
District 1,Iowa,770452,12013,22.29,,,13.77,,18.71,6.77,,,,13.74,,,,,,,,,,,,,
District 1,Kansas,712978,11755,,,,,,25.66,9.88,,,,10.18,,,,,,,,,,,,,19.12
District 1,Kentucky,721011,4231,,,,,,27.11,,,,,,,,,,,,,,,,,,
District 1,Louisiana,798345,17962,17.59,,,,,22.17,10.4,,,,,,,,,,,,,,,,,27.98
District 1,Maine,675074,10147,,,,,,21.67,13.37,,,,,,,,,,,,,,,,,
District 1,Maryland,729888,15474,25.51,,,,,15.9,17.73,,,,17.77,,,,,,,,,,,,,
District 1,Massachusetts,731327,14877,18.63,,,,,22.95,,,,,,,,,,,,,,,,,,14.86
District 1,Michigan,700228,4632,,,,,,26.64,13,,,,10.13,,,,,,,,,,,,,
District 1,Minnesota,670131,17809,12.29,,,,,18.75,,,,,8.52,12.35,,,,,,,,,,,,9.4
District 1,Mississippi,757425,5730,,,,,,,,,,,,,,,,,,,,,,,,
District 1,Missouri,736659,21874,25.82,,,,,26.46,9.07,,,,7.66,,,,,,,,,,,,,15.59
District 1,Nebraska,636147,16468,,,,,,18.03,,,,,7.98,,,,,,,,,,,,,35.72
District 1,Nevada,692075,58009,,,,,,16.41,53.19,,,3.89,5.28,,,,,,,,,,,,3.19,5.57
District 1,New Hampshire,670467,15972,23.95,,,,,15.79,12.2,,,,7.78,,,,,,,,,,,,,
District 1,New Jersey,730635,37620,29.42,,,,,17.28,17.01,,,,8.88,,,,,,,,,,,,,13.28
District 1,New Mexico,691746,16027,12.49,,,,,20.83,14.81,,,,,,,,,,,,,,,,,21.93
District 1,New York,721210,29711,22.8,,,,,31.45,12.31,,,,8.53,,,,,,,,,,,,,
District 1,North Carolina,750304,15042,27.04,,,,,30.04,,,,,,,,,,,,,,,,,,
District 1,Ohio,733390,24679,42.52,,,,,20.29,,,,,,,,,,,,,,,,,,
District 1,Oklahoma,789968,21731,15.88,,,10.86,,12.26,7.09,11.5,,,7.99,,,,,,,,,,,,,16.37
District 1,Oregon,817756,61492,25.23,,,,,17.54,11.15,,,7.24,10.28,,,,,,,,,,,,3.06,12.14
District 1,Pennsylvania,723042,52107,14.64,,,,8.38,35.71,,,,,,,,,,,,,,,,,,14.99
