District,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
Delegate District (at Large),District of Columbia,672391,8029,,,,,8738,4530,,,2594,3598,,,,,,1390,,,,,,2274
District (at Large),Alaska,738565,,,,,,4285,32773,4220,,4337,6978,,,,,,,,,,,,
District (at Large),Delaware,943732,15995,,,,,9611,6192,,,1370,3044,,,,,,,,,,,,
District (at Large),Montana,1029862,,,,,,2332,4024,,,2069,2048,,,,,,,,,,,,
District (at Large),North Dakota,745475,1930,,,,,2551,3263,,,,,,,,,,,,,,,,
District (at Large),South Dakota,855444,,,,2166,,2412,2475,,,,1547,,,,,,,,,,,,1141
District (at Large),Vermont,624636,1834,,,,,3036,1258,,,781,1614,,,,,,,,,,,,
District (at Large),Wyoming,583200,,,,,,,2925,,,,,,,,,,,,,,,,
District 1,Alabama,702730,,,,,,2043,1685,,,,,,,,,,,,,,,,2956
District 1,Arizona,741377,1445,,,,,3337,4512,,,1883,,,,,,,,,,,,,
District 1,Arkansas,723743,,,,,,,1195,,,,,,,,,,,,,,,,
District 1,California,704958,2363,,,,,3982,5761,5718,,2834,,2256,,,,,,,,,,,
District 1,Colorado,802167,4021,,,,,7304,3461,,,3748,3467,,,,,,,,,,,,7613
District 1,Connecticut,715329,17183,,,,,6761,2646,,,,3053,,,,,,,,,,,,4234
District 1,Florida,748579,2015,,,,,2633,11681,,,3166,3604,,,,,,,,,,,2084,4421
District 1,Georgia,727997,3474,,,,,3142,3671,,,,3504,,,,,,,,,,,,1846
District 1,Hawaii,711225,2860,,,,,120263,188463,,,192470,34942,,,,,4640,1749,,,,,2413,13056
District 1,Idaho,849292,,,,,,4961,4481,,,3139,1385,,,,,,,,,,,,
District 1,Illinois,712456,3917,,,,,4973,3544,,,,1336,,,,,,,,,,,,
District 1,Indiana,716518,2932,,,,,2306,3423,,,,,,,,,,,,,,,,
District 1,Iowa,770452,2805,,,1672,,2703,1876,,,,2194,,,,,,,,,,,,
District 1,Kansas,712978,,,,,,3397,1960,,,,1712,,,,,,,,,,,,2672
District 1,Kentucky,721011,,,,,,1304,1353,,,,,,,,,,,,,,,,
District 1,Louisiana,798345,3528,,,,,4881,2960,,,,,,,,,,,,,,,,5550
District 1,Maine,675074,,,,,1607,2999,2557,,,,,,,,,,,,,,,,1606
District 1,Maryland,729888,4486,,,,,3081,4451,,,,3257,,,,,,,,,,,,
District 1,Massachusetts,731327,3159,,,,,4570,,,,911,,,,,,,,,,,,,2853
District 1,Michigan,700228,908,,,,,1594,1248,,,556,652,,,,,,,,,,,,
District 1,Minnesota,670131,2601,,,,,3752,1664,,,,2237,2907,,,,,,,,,,,1963
District 1,Mississippi,757425,,,,,,,,,,,,,,,,,,,,,,,
District 1,Missouri,736659,6200,,,,,6606,3220,,,,2227,,,,,,1975,,,,,,3926
District 1,Nebraska,636147,,,,,,3246,1996,,,,2177,,,,,,,,,,,,6148
District 1,Nevada,692075,2318,,,,,11749,37781,,,4792,3980,,,,,,,,,,,2232,3974
District 1,New Hampshire,670467,4097,,,,,3276,2848,,,,2140,,,,,,,,,,,,
District 1,New Jersey,730635,11732,,,,,7344,8255,,,,3830,,,,,,,,,,,,5370
District 1,New Mexico,691746,5599,,,,,4731,3891,,,2955,,,,,,,,,,,,,3996
District 1,New York,721210,7599,,,,,10626,4747,,,,2963,,,,,,,,,,,,
District 1,North Carolina,750304,4545,,,,,5104,2906,,,,1890,,,,,,,,,,,,
District 1,Ohio,733390,11022,,,,,5453,,,,,,,,,,,,,,,,,
District 1,Oklahoma,789968,3870,,,2507,,3558,2795,2500,,1189,2390,,,,,,1694,,,,,,3956
District 1,Oregon,817756,16794,,,,,15742,12418,,,9619,8583,,,,,,2078,,,,,,8673
District 1,Pennsylvania,723042,8184,,,,4910,20280,3936,,,,,,,,,,,,,,,,9084
District 1,Rhode Island,532360,4944,,,,2841,4790,2063,,,,,,,,,,,,,,,,
District 1,South Carolina,748066,2355,,,,,4178,6262,,,1857,,,,,,,,,,,,,
District 1,Tennessee,712059,,,,,,1445,1679,,,,,,,,,,,,,,,,
District 1,Texas,713841,,,,,,,2404,,,,,,,,,,,,,,,,
District 1,Utah,740424,,,,,,3060,3904,,,3450,1984,,,,,,,,,,,,
District 1,Virginia,776151,4886,,,,,4409,6750,,,1967,4638,,,,,,2114,,,,,,3625
District 1,Washington,729667,28636,,,,,21108,11972,,,9639,8703,,,,,,,,,,,,5239
District 1,West Virginia,615449,1850,,,,,1945,,,,,,,,,,,,,,,,,
District 1,Wisconsin,716303,4417,,,,,2383,3132,,,,,,,,,,,,,,,,
District 10,California,737719,17501,,,,5476,5870,20361,,,2579,,,,,,,2826,,,,,,4061
District 10,Florida,787875,14526,,,,,7287,8379,,,1520,3266,,,,,,,,,,,,7495
District 10,Georgia,728072,4023,,,,,3127,1886,1735,,,2686,,,,,,,,,,,,
District 10,Illinois,715072,29963,,,,,12003,15429,,,3047,14307,,,,,,,,2427,,,,
District 10,Michigan,713551,4084,,,,,,3695,,,,1852,,,,,,,,,,,,
District 10,New Jersey,754301,20614,,,,,5486,21062,,,,,,,,,,,,3210,,,,
District 10,New York,740752,18351,3704,,,,91393,4998,,,5418,9360,,,,,,4197,,6871,,,,2584
District 10,North Carolina,749120,1893,,,,,,1522,3498,,,,,,,,,,,,,,,
District 10,Ohio,720851,5691,,,,,4455,3295,,,1657,1477,,,,,,,,,,,,2271
District 10,Pennsylvania,699026,1761,,,,,2456,1298,,,,,,,,,,,,,,,,
District 10,Texas,813505,13891,,,,,10469,5590,,,,3124,,,,,,,,,,,,11136
District 10,Virginia,813785,47291,,,,,17493,13641,,,3809,17734,,,,,,6300,,8123,,,,12622
District 10,Washington,720357,3500,,,,6466,7300,20940,,,8540,14774,,,,,,,,,,,1615,7936
District 11,California,749531,13640,,,,,39054,36684,,,11439,8432,,,,,,4183,,,,,,7127
District 11,Florida,738652,2938,,,,,,3912,,,,,,,,,,,,,,,,
District 11,Georgia,744447,11530,,,,,3705,3887,,,,2723,,,,,,,,,,,,
District 11,Illinois,723626,25944,,,,,7994,12880,,,,3591,,,,,,,,3792,,,,
District 11,Michigan,721434,37025,,,,,14297,5406,,,5287,6204,,,,,,1869,,3212,,,,1830
District 11,New Jersey,743033,33753,,,,,19489,12252,,,1786,6843,,,,,,2080,,,,,,
District 11,New York,733750,12560,,,,,64874,7269,,,,5209,,,,,,3967,,9229,,,,1375
District 11,North Carolina,746213,,,,,,,,2606,,,,,,,,,,,,,,,
District 11,Ohio,697927,6281,,,,,6078,1793,,,,1698,,,,,,,,,,,,
District 11,Pennsylvania,707296,3729,,,,,2422,,,,,932,,,,,,,,,,,,1931
District 11,Texas,753479,1601,,,,,,2482,,,,,,,,,,,,,,,,
District 11,Virginia,787515,36538,,,,,20976,15835,,,4440,35563,,,,,,7743,,10932,,,3120,20874
District 12,California,752652,17675,,,,,163181,36281,,,14483,11501,,,,,,3068,,,,2520,2442,15849
District 12,Florida,743356,5803,,,,,4324,4870,,,,2062,,,,,,,,,,,,3230
District 12,Georgia,713701,3419,,,,,2236,3427,,,,3110,,,,,,,,,,,,
District 12,Illinois,700568,,,,,,1586,2888,,,1029,1709,,,,,,,,,,,,
District 12,Michigan,708323,11598,,,,,12782,3478,,,3008,4896,,,,,,3235,,2432,,,,
District 12,New Jersey,757602,76279,,,,,25639,10314,,,2165,6972,,,,,,2308,,4516,,,,
District 12,New York,732140,21586,5047,,,,40021,9893,,,11155,15050,,,,,,3267,,,,2154,,1922
District 12,North Carolina,830510,18858,,,,,5242,2574,,,,2758,,,,,,,,,,,,9494
District 12,Ohio,761758,14729,,,,,7244,2481,,,2646,3177,,,,,,,,,,,,1570
District 12,Pennsylvania,699504,4402,,,,,4822,1739,,,,,,,,,,,,,,,,
District 12,Texas,773234,4145,,,,,2664,6508,,,1118,,3710,,,,,,,,,,,7325
District 13,California,750102,11303,,,,2995,85686,30626,,,12378,10880,3501,,,,,4748,,,,2175,1588,17442
District 13,Florida,717518,4808,,,,,3692,6756,,,1220,1303,,,,,,,,,,,,7086
District 13,Georgia,740677,7087,,,,,,,,,,,,,,,,,,,,,,4145
District 13,Illinois,706023,6300,,,,,11263,3776,,,872,4617,,,,,,,,,,,,
District 13,Michigan,681222,3612,,,,,1650,,,,,,,,,,,,,,,,,
District 13,New York,782402,9075,,,,,14231,5055,,,2620,3492,,,,,,3269,,,,,,
District 13,North Carolina,762411,6281,,,,,1965,,,,,,,,,,,,,,,,,5930
District 13,Ohio,710834,2275,,,,,2482,1472,,,,,,,,,,,,,,,,
District 13,Pennsylvania,727631,20489,,,,4466,16795,4208,,,,10292,,,,,,2004,,,,,,9823
District 13,Texas,708616,,,,3517,,,2372,,,,,,,,,,,,,,,,3276
District 14,California,750274,21113,,,,,124955,92495,,,15882,9333,,,,,,2959,,,,2408,,8866
District 14,Florida,750173,14251,,,,,5789,5370,,,,2638,,,,,,,,,,,,5105
District 14,Georgia,704946,,,,,,,,,,,,,,,,,,,,,,,
District 14,Illinois,730782,14161,,,,,5386,8880,,,,3199,,,,,,,,,,,,
District 14,Michigan,692552,14798,6127,,,,2719,3198,,,1797,1489,,,,,,2472,,,,,,
District 14,New York,721690,30864,16359,,,,41057,13684,,,2859,6466,,,,4195,,4136,,5427,,,,2747
District 14,Ohio,718257,6932,,,,,4673,1848,,,,,,,,,,,,,,,,
District 14,Pennsylvania,701608,6217,,,,,8916,1937,,,1090,2589,,,,,,,,,,,,1590
District 14,Texas,737708,5308,,,,,2795,4102,,,,,,,,,,,,,,,,7785
District 15,California,764963,79253,,,,,75135,70743,,,10502,12461,,,,,,7432,,3200,,2197,1492,15863
District 15,Florida,761327,9848,,,,,3451,5788,,,,,,,,,,,,,,,,
