District,State,Total Population,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
Delegate District (at Large),District of Columbia,672391,,,,,,,,,,,
District (at Large),Alaska,738565,,,,,,,,,5253,,
District (at Large),Delaware,943732,,,,,,,,,,,
District (at Large),Montana,1029862,,,,,,,,,,,
District (at Large),North Dakota,745475,,,,,,,,,,,
District (at Large),South Dakota,855444,,,,,,,,,,,
District (at Large),Vermont,624636,,,,,,,,,,,
District (at Large),Wyoming,583200,,,,,,,,,,,
District 1,Alabama,702730,,,,,,,,,,,
District 1,Arizona,741377,,,,,,,,,,,
District 1,Arkansas,723743,,,,,,,,,,,
District 1,California,704958,,,,,,,,,,,
District 1,Colorado,802167,,,,,,,,,,,
District 1,Connecticut,715329,,,,,,,,,,,
District 1,Florida,748579,,,,,,,,,,,
District 1,Georgia,727997,,,,,,,,,,,
District 1,Hawaii,711225,,,,25049,,11460,,,10136,,2253
District 1,Idaho,849292,,,,,,,,,,,
District 1,Illinois,712456,,,,,,,,,,,
District 1,Indiana,716518,,,,,,,,,,,
District 1,Iowa,770452,,,,,,,,,,,
District 1,Kansas,712978,,,,,,,,,,,
District 1,Kentucky,721011,,,,,,,,,,,
District 1,Louisiana,798345,,,,,,,,,,,
District 1,Maine,675074,,,,,,,,,,,
District 1,Maryland,729888,,,,,,,,,,,
District 1,Massachusetts,731327,,,,,,,,,,,
District 1,Michigan,700228,,,,,,,,,,,
District 1,Minnesota,670131,,,,,,,,,,,
District 1,Mississippi,757425,,,,,,,,,,,
District 1,Missouri,736659,,,,,,,,,,,
District 1,Nebraska,636147,,,,,,,,,,,
District 1,Nevada,692075,,,,2418,,,,,,,
District 1,New Hampshire,670467,,,,,,,,,,,
District 1,New Jersey,730635,,,,,,,,,,,
District 1,New Mexico,691746,,,,,,,,,,,
District 1,New York,721210,,,,,,,,,,,
District 1,North Carolina,750304,,,,,,,,,,,
District 1,Ohio,733390,,,,,,,,,,,
District 1,Oklahoma,789968,,,,,,,,,,,
District 1,Oregon,817756,,,,,,,,,,,
District 1,Pennsylvania,723042,,,,,,,,,,,
District 1,Rhode Island,532360,,,,,,,,,,,
District 1,South Carolina,748066,,,,,,,,,,,
District 1,Tennessee,712059,,,,,,,,,,,
District 1,Texas,713841,,,,,,,,,,,
District 1,Utah,740424,,,,,,,,,,,
District 1,Virginia,776151,,,,,,,,,,,
District 1,Washington,729667,,,,,,,,,,,
District 1,West Virginia,615449,,,,,,,,,,,
District 1,Wisconsin,716303,,,,,,,,,,,
District 10,California,737719,,,,,,,,,,,
District 10,Florida,787875,,,,,,,,,,,
District 10,Georgia,728072,,,,,,,,,,,
District 10,Illinois,715072,,,,,,,,,,,
District 10,Michigan,713551,,,,,,,,,,,
District 10,New Jersey,754301,,,,,,,,,,,
District 10,New York,740752,,,,,,,,,,,
District 10,North Carolina,749120,,,,,,,,,,,
District 10,Ohio,720851,,,,,,,,,,,
District 10,Pennsylvania,699026,,,,,,,,,,,
District 10,Texas,813505,,,,,,,,,,,
District 10,Virginia,813785,,,,,,,,,,,
District 10,Washington,720357,,4453,,,,,,,4105,,
District 11,California,749531,,,,,,,,,,,
District 11,Florida,738652,,,,,,,,,,,
District 11,Georgia,744447,,,,,,,,,,,
