District,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
Delegate District (at Large),District of Columbia,19603,,,,1562500
District (at Large),Alaska,29572,545200,754300,886500,771200
District (at Large),Delaware,25032,209900,265300,289800,1738200
District (at Large),Montana,4788,,,,224700
District (at Large),North Dakota,6151,,,,295500
District (at Large),South Dakota,6729,182100,123300,,279900
District (at Large),Vermont,5818,129500,,,264500
District (at Large),Wyoming,3480,,,,
District 1,Alabama,6606,168500,,,229600
District 1,Arizona,7888,,145100,197600,347200
District 1,Arkansas,2293,,,,
District 1,California,11061,245e3,170300,305200,385600
District 1,Colorado,19674,346400,279800,338500,1002700
District 1,Connecticut,24593,276800,258800,269400,1654300
District 1,Florida,13801,247500,350700,394700,387200
District 1,Georgia,8848,121200,179700,211400,372500
District 1,Hawaii,281831,3419500,6784600,798e4,9999e3
District 1,Idaho,7033,,,,295800
District 1,Illinois,8646,,,,633400
District 1,Indiana,6324,,,128300,360600
District 1,Iowa,7212,111700,,151300,374400
District 1,Kansas,7194,169100,126300,159700,264300
District 1,Kentucky,2578,,,,
District 1,Louisiana,11880,207300,192800,178e3,609900
District 1,Maine,6607,,133500,136900,267700
District 1,Maryland,10486,,,201300,608100
District 1,Massachusetts,9526,216500,,166100,388700
District 1,Michigan,3009,,67300,,129900
District 1,Minnesota,10954,237600,154700,228900,474200
District 1,Mississippi,3657,,,,
District 1,Missouri,14955,219100,197800,200200,878400
District 1,Nebraska,9728,180600,207900,171100,413200
District 1,Nevada,45262,667e3,1124200,1431100,1303900
District 1,New Hampshire,10764,151600,199600,163300,561900
District 1,New Jersey,25737,347e3,439500,440900,1346300
District 1,New Mexico,11536,195500,196900,235200,526e3
District 1,New York,18302,174400,230100,309400,1116300
District 1,North Carolina,9878,,,,687200
District 1,Ohio,15706,,,162900,1143100
District 1,Oklahoma,13682,266900,287200,280900,533200
District 1,Oregon,44197,359500,452700,821800,2785700
District 1,Pennsylvania,35994,1172800,784200,466e3,1176400
District 1,Rhode Island,11564,173400,159200,,641e3
District 1,South Carolina,10044,,201400,205e3,485300
District 1,Tennessee,3414,,,,196500
District 1,Texas,5110,,,,266700
