District,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
Delegate District (at Large),District of Columbia,19603,,,,0.7970718767535582
District (at Large),Alaska,29572,0.1843635871770594,0.2550723657513864,0.299776815906939,0.26078723116461516
District (at Large),Delaware,25032,0.08385266858421221,0.10598434004474273,0.11577181208053691,0.6943911792905082
District (at Large),Montana,4788,,,,0.4692982456140351
District (at Large),North Dakota,6151,,,,0.4804096894813851
District (at Large),South Dakota,6729,0.270619705751226,0.18323673651359787,,0.4159607668301382
District (at Large),Vermont,5818,0.22258508078377448,,,0.4546235819869371
District (at Large),Wyoming,3480,,,,
District 1,Alabama,6606,0.25507114744171966,,,0.3475628216772631
District 1,Arizona,7888,,0.18395030425963488,0.25050709939148075,0.44016227180527384
District 1,Arkansas,2293,,,,
District 1,California,11061,0.22149896031100264,0.15396437935087243,0.27592441913027754,0.3486122412078474
District 1,Colorado,19674,0.17606994002236454,0.1422181559418522,0.17205448815695842,0.5096574158788248
District 1,Connecticut,24593,0.1125523522953686,0.10523319643801081,0.10954336599845485,0.6726710852681658
District 1,Florida,13801,0.17933483080936163,0.254112020868053,0.2859937685674951,0.2805593797550902
District 1,Georgia,8848,0.13698010849909584,0.20309674502712477,0.2389240506329114,0.420999095840868
District 1,Hawaii,281831,0.12133157814434892,0.24073292150260261,0.283148411636761,0.35478708871628745
District 1,Idaho,7033,,,,0.42058865349068675
District 1,Illinois,8646,,,,0.7325931066389082
District 1,Indiana,6324,,,0.20287792536369387,0.5702087286527514
District 1,Iowa,7212,0.15488075429839157,,0.20978924015529674,0.519134775374376
District 1,Kansas,7194,0.2350569919377259,0.1755629691409508,0.2219905476786211,0.36738949124270226
District 1,Kentucky,2578,,,,
District 1,Louisiana,11880,0.1744949494949495,0.1622895622895623,0.14983164983164984,0.5133838383838384
District 1,Maine,6607,,0.20205842288481912,0.20720448009686696,0.4051763281368246
District 1,Maryland,10486,,,0.19197024604234217,0.57991607858096506
District 1,Massachusetts,9526,0.22727272727272727,,0.17436489607390301,0.4080411505353769
District 1,Michigan,3009,,0.22366234629444998,,0.4317048853439681
District 1,Minnesota,10954,0.21690706591199563,0.1412269490597042,0.20896476173087455,0.4329012232974256
District 1,Mississippi,3657,,,,
District 1,Missouri,14955,0.14650618522233366,0.13226345703778,0.13386827148111,0.5873620862587763
District 1,Nebraska,9728,0.18564967105263158,0.21371299342105263,0.17588404605263158,0.42475328947368424
District 1,Nevada,45262,0.1473642348990323,0.24837612124961336,0.31618134417392074,0.2880782996774336
District 1,New Hampshire,10764,0.1408398364920104,0.18543292456335936,0.1517094017094017,0.5220178372352285
District 1,New Jersey,25737,0.134825348719742,0.17076582352255507,0.17130978746551656,0.5230990402921863
District 1,New Mexico,11536,0.16946948682385576,0.17068307905686547,0.20388349514563106,0.45596393897364773
District 1,New York,18302,0.09529013222598623,0.12572396459403343,0.1690525625614687,0.6099333406185117
District 1,North Carolina,9878,,,,0.6956873861105487
District 1,Ohio,15706,,,0.10371832420730931,0.7278110276327519
District 1,Oklahoma,13682,0.19507381961701506,0.20991083174974418,0.2053062417775179,0.38970910685572285
District 1,Oregon,44197,0.08134036246804081,0.10242776659049256,0.18594022218702627,0.6302916487544403
District 1,Pennsylvania,35994,0.32583208312496525,0.21786964494082348,0.1294660221147969,0.32683224981941433
District 1,Rhode Island,11564,0.149948114839156,0.137668626772743,,0.5543064683500519
District 1,South Carolina,10044,,0.20051772202309837,0.20410195141377938,0.48317403424930305
District 1,Tennessee,3414,,,,0.5755711775043937
District 1,Texas,5110,,,,0.5219178082191781
District 1,Utah,7459,0.1280332484247218,0.24145327791929214,0.2681324574339724,0.3623810162220137
District 1,Virginia,16873,0.12884490013631245,0.1744206720796539,0.21904818348841343,0.47768624429562023
District 1,Washington,54711,0.0592933779313118,0.07428122315439309,0.14282319825994771,0.7236022006543474
District 1,West Virginia,3610,,,,0.682825484764543
District 1,Wisconsin,8970,,0.17023411371237457,,0.5471571906354515
District 10,California,34199,0.18339717535600455,0.19801748589140034,0.2894236673586947,0.3291616713939004
District 10,Florida,28409,0.13671723749516,0.18300538561723398,0.1982822345031504,0.4819951423844556
District 10,Georgia,9077,,,0.20480334912415996,0.46700451691087363
District 10,Illinois,52509,0.06421756270353654,0.09573596907196862,0.16069626159325068,0.6793502066312441
District 10,Michigan,7888,,,0.2538032454361055,0.5225659229208925
District 10,New Jersey,39878,0.09752244345253022,0.13739405185816742,0.16944179748232108,0.5956417072069813
District 10,New York,100636,0.2551472634047458,0.16086688660121626,0.099556818633491,0.48442903136054694
District 10,North Carolina,7252,,0.23690016547159404,,0.36403750689464975
District 10,Ohio,11018,0.1141768015973861,0.1260664367398802,0.1397712833545108,0.6199854783082229
District 10,Pennsylvania,4503,,,,0.47923606484565845
District 10,Texas,31665,0.08570977419864204,0.11069003631770093,0.1515237644086531,0.652076425075004
District 10,Virginia,76466,0.07233280150655193,0.08728062145267178,0.13740747521774382,0.7029791018230325
District 10,Washington,34079,0.16573256257519292,0.23175562663223687,0.28604125707913963,0.3164705537134306
District 11,California,77707,0.10812410722328748,0.12038812462197743,0.23160075668858662,0.5398870114661485
District 11,Florida,7175,,,0.24306620209059235,0.4069686411149826
District 11,Georgia,17913,,0.12488137107128901,0.17238876793390276,0.6127951766873221
District 11,Illinois,38011,0.06427086895898555,0.07676725158506748,0.1498513588171845,0.7091105206387625
District 11,Michigan,47581,0.061200899518715456,0.07675332590740001,0.10491582774636934,0.7571299468275152
District 11,New Jersey,52549,0.06053397781118575,0.09172391482235628,0.10622466650174123,0.7415174408647167
District 11,New York,71724,0.25606491550945293,0.20955328760247616,0.15915174836874688,0.37523004851932407
District 11,North Carolina,5606,0.18943988583660365,,,0.3451658936853371
District 11,Ohio,11762,0.13169528991668084,0.1414725386838973,0.08706002380547526,0.6397721475939466
District 11,Pennsylvania,7711,,,,0.49371028400985606
District 11,Texas,4770,,,,0.5014675052410902
District 11,Virginia,100733,0.09651256291384154,0.13673771256688474,0.16300517208859064,0.6037445524306831
District 12,California,197185,0.21519892486751022,0.14846971118492786,0.17993255065040445,0.4563988132971575
District 12,Florida,13961,0.15027576821144617,0.1469092471885968,0.200415443019841,0.502399541580116
District 12,Georgia,8524,0.14406381980290944,,0.17726419521351477,0.5239324260910371
District 12,Illinois,6154,,,,0.5175495612609685
District 12,Michigan,22317,,,0.1118429896491464,0.7596899224806202
District 12,New Jersey,85189,0.06302456889974058,0.07754522297479721,0.09260585286832806,0.7668243552571341
District 12,New York,79272,0.08295488949439903,0.0842542133414068,0.09700777071349279,0.7357831264507014
District 12,North Carolina,31043,0.19415004993074123,0.12675965596108624,0.15204716039042618,0.5270431337177464
District 12,Ohio,19869,,0.10725250390054859,0.09386481453520559,0.7520257687855453
District 12,Pennsylvania,8658,,,,0.7425502425502426
District 12,Texas,18246,0.17192809382878438,0.1994957798969637,0.2227885563959224,0.4057875698783295
District 13,California,113222,0.21635371217607885,0.1466587765628588,0.19141156312377453,0.4455759481372878
District 13,Florida,18486,0.1682895163907822,0.22882181110029212,0.22168127231418372,0.381207400194742
District 13,Georgia,13769,0.18882998039073282,0.23952356743409106,0.17488561260803254,0.3967608395671436
District 13,Illinois,12843,,,,0.7710815230086429
District 13,Michigan,6217,,,,0.6080102943541901
District 13,New York,27826,0.1709552217350679,0.1418816933802918,0.12128944152950479,0.5658736433551355
District 13,North Carolina,16734,0.22714234492649696,0.19696426437193737,0.17796103740886818,0.3979323532926975
District 13,Ohio,7862,,0.22513355380310354,,0.3742050368862885
District 13,Pennsylvania,46756,0.23573445119342973,0.18256480451706733,0.1538198306099752,0.42788091367952774
District 13,Texas,8450,0.31420118343195264,0.20355029585798817,0.1688757396449704,0.31337278106508876
District 14,California,189600,0.10718881856540084,0.12868143459915612,0.22977848101265821,0.5343512658227848
District 14,Florida,23403,0.12160834081100713,0.12827415288638208,0.1388283553390591,0.6112891509635516
District 14,Georgia,5070,,,,
