District,State,Asian Alone Total,Asian Alone Less than HS,Asian Alone HS or GED,Asian Alone Some College or AA,Asian Alone BA or higher,Asian Alone Share Less than HS,Asian Alone Share HS or GED,Asian Alone Share Some College or AA,Asian Alone Share BA or higher,NHPI Alone Total,NHPI Alone Less than HS,NHPI Alone HS or GED,NHPI Alone Some College or AA,NHPI Alone BA or higher,NHPI Alone Share Less than HS,NHPI Alone Share HS or GED,NHPI Alone Share Some College or AA,NHPI Alone Share BA or higher
Delegate District (at Large),District of Columbia,19603,,,,15625,,,,79.71,,,,,,,,,
District (at Large),Alaska,29572,5452,7543,8865,7712,18.44,25.51,29.98,26.08,4704,,1908,1662,,,40.56,35.33,
District (at Large),Delaware,25032,2099,2653,2898,17382,8.39,10.6,11.58,69.44,,,,,,,,,
District (at Large),Montana,4788,,,,2247,,,,46.93,,,,,,,,,
District (at Large),North Dakota,6151,,,,2955,,,,48.04,,,,,,,,,
District (at Large),South Dakota,6729,1821,1233,,2799,27.06,18.32,,41.6,,,,,,,,,
District (at Large),Vermont,5818,1295,,,2645,22.26,,,45.46,,,,,,,,,
District (at Large),Wyoming,3480,,,,,,,,,,,,,,,,,
District 1,Alabama,6606,1685,,,2296,25.51,,,34.76,,,,,,,,,
District 1,Arizona,7888,,1451,1976,3472,,18.4,25.05,44.02,996,,,,,,,,
District 1,Arkansas,2293,,,,,,,,,,,,,,,,,
District 1,California,11061,2450,1703,3052,3856,22.15,15.4,27.59,34.86,,,,,,,,,
District 1,Colorado,19674,3464,2798,3385,10027,17.61,14.22,17.21,50.97,,,,,,,,,
District 1,Connecticut,24593,2768,2588,2694,16543,11.26,10.52,10.95,67.27,,,,,,,,,
District 1,Florida,13801,2475,3507,3947,3872,17.93,25.41,28.6,28.06,610,,,,,,,,
District 1,Georgia,8848,1212,1797,2114,3725,13.7,20.31,23.89,42.1,597,,,,,,,,
District 1,Hawaii,281831,34195,67846,79800,99990,12.13,24.07,28.31,35.48,34792,4481,13728,11088,5495,12.88,39.46,31.87,15.79
District 1,Idaho,7033,,,,2958,,,,42.06,,,,,,,,,
District 1,Illinois,8646,,,,6334,,,,73.26,,,,,,,,,
