Metro Area,Total Asian Any Combination,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,"Chinese, except Taiwanese",Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,"Other Asian, specified","Other Asian, not specified"
"Abilene, TX Metro Area",3871,272,8,98,0,208,446,755,0,0,346,434,87,0,0,431,0,48,0,24,187,367,5,155
"Akron, OH Metro Area",23668,5792,58,2750,738,79,4197,1923,144,175,949,1207,541,74,35,1355,15,456,63,108,293,1475,0,1241
"Albany, GA Metro Area",2376,628,0,0,8,0,234,508,0,0,232,260,7,0,9,47,0,129,0,0,53,226,0,35
"Albany, OR Metro Area",2234,243,0,0,0,106,331,405,87,10,508,368,12,0,0,0,0,0,0,0,7,141,0,16
"Albany-Schenectady-Troy, NY Metro Area",44862,13171,398,0,1162,11,12373,4143,3,191,1390,3967,72,82,0,453,0,3566,173,271,243,1256,0,1937
"Albuquerque, NM Metro Area",32426,6032,120,0,0,134,5402,5682,70,49,3915,2219,536,12,0,244,11,610,122,166,811,4392,18,1881
"Alexandria, LA Metro Area",2517,358,0,0,104,1,524,223,23,0,25,145,62,0,0,0,0,355,0,0,96,555,0,46
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",29307,9233,13,24,180,223,5444,4069,0,147,879,2461,316,48,6,86,0,1439,47,147,636,3039,0,870
"Altoona, PA Metro Area",1224,276,0,0,16,0,233,121,0,0,35,79,0,0,0,0,0,54,0,15,16,379,0,0
"Amarillo, TX Metro Area",10173,904,83,0,2213,37,768,997,0,14,290,451,1142,0,0,135,0,135,0,48,358,2070,0,528
"Ames, IA Metro Area",8327,1555,0,0,0,0,3713,311,0,18,179,942,279,262,5,30,0,54,0,197,120,186,0,476
"Anchorage, AK Metro Area",40361,745,361,282,0,184,3014,18523,4131,51,2729,5462,1301,60,0,25,3,124,15,68,1837,1144,0,302
"Ann Arbor, MI Metro Area",37669,8935,16,0,0,39,12833,1979,223,228,2884,4771,137,190,67,53,0,1371,240,1138,419,697,191,1258
