Geography,Total Population,Asian Alone,Asian Alone Share,NHPI Alone,NHPI Alone Share,Asian Alone or Combo,Asian Alone or Combo Share,NHPI Alone or Combo,NHPI Alone or Combo Share
"Abilene, TX Metro Area",169000,2764,1.64,73,0.04,3780,2.24,171,0.1
"Akron, OH Metro Area",703398,19182,2.73,128,0.02,23186,3.3,416,0.06
"Albany, GA Metro Area",153776,1607,1.05,66,0.04,2171,1.41,560,0.36
"Albany, OR Metro Area",121074,1501,1.24,126,0.1,2151,1.78,523,0.43
"Albany-Schenectady-Troy, NY Metro Area",881862,37761,4.28,244,0.03,44159,5.01,1380,0.16
"Albuquerque, NM Metro Area",905049,19411,2.14,729,0.08,31405,3.47,1922,0.21
"Alexandria, LA Metro Area",154385,2126,1.38,7,0,2517,1.63,60,0.04
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",832790,23664,2.84,193,0.02,28550,3.43,859,0.1
"Altoona, PA Metro Area",124736,872,0.7,45,0.04,1177,0.94,58,0.05
"Amarillo, TX Metro Area",261827,8369,3.2,229,0.09,9932,3.79,623,0.24
"Ames, IA Metro Area",95888,7026,7.33,39,0.04,8211,8.56,55,0.06
"Anchorage, AK Metro Area",399360,29128,7.29,7265,1.82,38492,9.64,10366,2.6
"Ann Arbor, MI Metro Area",361509,31505,8.71,151,0.04,37035,10.24,731,0.2
"Anniston-Oxford-Jacksonville, AL Metro Area",115527,1149,0.99,7,0.01,1514,1.31,64,0.06
"Appleton, WI Metro Area",233025,7305,3.13,35,0.02,8301,3.56,235,0.1
"Asheville, NC Metro Area",445625,4916,1.1,365,0.08,6268,1.41,749,0.17
"Athens-Clarke County, GA Metro Area",202780,7206,3.55,42,0.02,8545,4.21,202,0.1
"Atlanta-Sandy Springs-Roswell, GA Metro Area",5700990,319647,5.61,2306,0.04,363017,6.37,7578,0.13
"Atlantic City-Hammonton, NJ Metro Area",272926,22902,8.39,92,0.03,25368,9.29,1013,0.37
"Auburn-Opelika, AL Metro Area",156597,6000,3.83,12,0.01,6639,4.24,71,0.05
"Augusta-Richmond County, GA-SC Metro Area",589519,11378,1.93,699,0.12,15026,2.55,1393,0.24
"Austin-Round Rock, TX Metro Area",2000590,109933,5.5,1290,0.06,131857,6.59,3894,0.19
"Bakersfield, CA Metro Area",878744,41263,4.7,1620,0.18,49903,5.68,4101,0.47
"Baltimore-Columbia-Towson, MD Metro Area",2792050,149640,5.36,1309,0.05,178882,6.41,5196,0.19
"Bangor, ME Metro Area",152284,1621,1.06,28,0.02,2205,1.45,69,0.05
"Barnstable Town, MA Metro Area",213900,3158,1.48,177,0.08,4199,1.96,288,0.13
"Baton Rouge, LA Metro Area",828741,17141,2.07,140,0.02,20145,2.43,569,0.07
"Battle Creek, MI Metro Area",134327,2837,2.11,49,0.04,3682,2.74,139,0.1
"Bay City, MI Metro Area",105350,597,0.57,0,0,909,0.86,12,0.01
"Beaumont-Port Arthur, TX Metro Area",408663,10524,2.58,133,0.03,11948,2.92,297,0.07
"Beckley, WV Metro Area",121699,861,0.71,86,0.07,1100,0.9,151,0.12
"Bellingham, WA Metro Area",212738,8634,4.06,600,0.28,12566,5.91,1443,0.68
"Bend-Redmond, OR Metro Area",175321,2051,1.17,201,0.11,3376,1.93,778,0.44
