Group,United States,Percent Total
Asian Combo Total,22408464,100
Chinese except Taiwanese,5025817,22.43
Asian Indian,4402362,19.65
Filipino,4037564,18.02
Vietnamese,2104217,9.39
Korean,1887914,8.43
Japanese,1466514,6.54
Other Asian not specified,673674,3.01
Pakistani,544640,2.43
Cambodian,331733,1.48
Thai,319794,1.43
Hmong,309564,1.38
Laotian,265138,1.18
Taiwanese,193367,0.86
Burmese,193036,0.86
Bangladeshi,185622,0.83
Nepalese,182385,0.81
Indonesian,126935,0.57
Sri Lankan,52448,0.23
Malaysian,29431,0.13
Mongolian,28283,0.13
Bhutanese,26845,0.12
Okinawan,13366,0.06
Other Asian specified,7815,0.03
