Group,Total Pop 25+,Less than HS Diploma,HS Graduate,Some College or AA,BA Degree,Graduate or Professional Degree
Asian Indian alone ,2822133,7.7,8.3,9.4,32.3,42.3
Bangladeshi alone ,109962,17.8,20,16.1,24.1,22
Cambodian alone ,185164,32.4,24.5,23.2,14.1,5.8
Chinese alone,3001420,17.1,15.1,13.5,26.7,27.6
Taiwanese alone ,132620,4.2,7.1,11,32.3,45.4
Filipino alone ,2181189,6.7,15.2,28.9,39.7,9.4
Hmong alone ,148594,23.3,24.2,28.1,18.5,5.9
Indonesian alone ,54824,4.6,22.1,23.6,32.9,16.8
Japanese alone ,650698,4.6,17.9,25.5,33.8,18.2
Korean alone ,1107725,7.2,16.9,19.6,34.6,21.7
Laotian alone ,151678,26.7,30.7,27,12.1,3.5
Pakistani alone ,307791,12,14,16.6,30.6,26.9
Thai alone ,164557,17.6,18.9,21.3,25.5,16.8
Vietnamese alone ,1275334,25.8,21.3,22.4,20.9,9.5
Polynesian alone,226473,9.3,38.4,35.1,12.4,4.8
Native Hawaiian alone,128816,8,37.6,34.5,13.9,6
Samoan alone ,61486,10.8,38.4,37,10.8,3.1
Micronesian alone ,104889,16.1,32.4,35.1,11.9,4.5
Guamanian or Chamorro alone,58907,8.7,30,38.3,16.3,6.7
Burmese alone,99335,53.6,14.6,10,14.9,6.9
Nepalese alone ,109069,27,15.4,12.7,22.1,22.8
