Group,Total Population,Foreign Born,Foreign Born Share
Asian Indian alone ,4094539,2922710,71.38
Bangladeshi alone ,176229,129135,73.28
Cambodian alone ,269577,150765,55.93
Chinese alone,4180186,2915753,69.75
Taiwanese alone ,164795,116211,70.52
Filipino alone ,2911668,1894566,65.07
Hmong alone ,296069,105103,35.5
Indonesian alone ,76144,55773,73.25
Japanese alone ,770546,324269,42.08
Korean alone ,1477282,1048802,71
Laotian alone ,212307,122564,57.73
Pakistani alone ,499099,326153,65.35
Thai alone ,211384,160670,76.01
Vietnamese alone ,1826998,1215401,66.52
Burmese alone ,180474,145183,80.45
Nepalese alone ,171709,144848,84.36
Polynesian alone ,363031,34378,9.47
Native Hawaiian alone ,191739,5197,2.71
Samoan alone ,105076,9489,9.03
Micronesian alone ,169937,55200,32.48
Guamanian or Chamorro alone ,85771,5951,6.94
