Population Group,Total Population,Poverty Rate
Asian Indian alone or in any combination ,4402362,4.4
Bangladeshi alone or in any combination ,185622,16.5
Cambodian alone or in any combination ,331733,12.9
Chinese alone or in any combination ,5037882,9.6
Taiwanese alone or in any combination ,193367,6.5
Filipino alone or in any combination ,4037564,4.5
Hmong alone or in any combination ,309564,15.8
Indonesian alone or in any combination ,126935,6.9
Japanese alone or in any combination ,1466514,4.7
Korean alone or in any combination ,1887914,8.6
Laotian alone or in any combination ,265138,9.3
Pakistani alone or in any combination ,544640,13.6
Thai alone or in any combination ,319794,9.3
Vietnamese alone or in any combination ,2104217,10.6
Burmese alone or in any combination ,193036,27.9
Nepalese alone or in any combination ,182385,17.3
Polynesian alone or in any combination ,870126,12.4
Native Hawaiian alone or in any combination ,614572,11.3
Samoan alone or in any combination ,202268,14.5
Tongan alone or in any combination ,71474,19.3
Micronesian alone or in any combination ,254924,17.6
Guamanian or Chamorro alone or in any combination ,156482,10.6
