State,Total Population,Asian Alone,Share Asian Alone,Asian Combo,Share Asian Combo,NHPI Alone,Share NHPI Alone,NHPI Combo,Share NHPI Combo
Alabama,4850771,62815,1.29,80895,1.67,,,4817,0.1
Alaska,738565,45604,6.17,59965,8.12,9075,1.23,13910,1.88
Arizona,6809946,213417,3.13,280213,4.11,13364,0.2,29823,0.44
Arkansas,2977944,42368,1.42,53191,1.79,7062,0.24,9733,0.33
California,38982847,5503672,14.12,6306438,16.18,152027,0.39,310720,0.8
Colorado,5436519,164771,3.03,222407,4.09,8580,0.16,19139,0.35
Connecticut,3594478,156450,4.35,184858,5.14,931,0.03,4755,0.13
Delaware,943732,36553,3.87,42364,4.49,,,,
District of Columbia,672391,25558,3.8,33877,5.04,,,1067,0.16
Florida,20278447,543394,2.68,689240,3.4,12342,0.06,39250,0.19
Georgia,10201635,388946,3.81,454032,4.45,5237,0.05,15416,0.15
Hawaii,1421658,540556,38.02,802744,56.47,142600,10.03,369673,26
Idaho,1657375,22720,1.37,36059,2.18,2343,0.14,6490,0.39
Illinois,12854526,671811,5.23,770806,6,4275,0.03,14348,0.11
Indiana,6614418,137680,2.08,166675,2.52,2635,0.04,7197,0.11
Iowa,3118102,71178,2.28,85899,2.75,2913,0.09,4917,0.16
Kansas,2903820,80738,2.78,99696,3.43,1923,0.07,5329,0.18
Kentucky,4424376,59593,1.35,76807,1.74,2271,0.05,5284,0.12
Louisiana,4663461,80980,1.74,96274,2.06,1401,0.03,3777,0.08
Maine,1330158,14804,1.11,21641,1.63,,,1368,0.1
Maryland,5996079,373065,6.22,437643,7.3,2830,0.05,11004,0.18
Massachusetts,6789319,426225,6.28,484099,7.13,2253,0.03,10583,0.16
Michigan,9925568,289082,2.91,349903,3.53,2808,0.03,10425,0.11
Minnesota,5490726,255935,4.66,301292,5.49,1976,0.04,7558,0.14
Mississippi,2986220,28859,0.97,36571,1.22,,,2390,0.08
Missouri,6075300,112959,1.86,145723,2.4,6336,0.1,12912,0.21
Montana,1029862,7448,0.72,13144,1.28,,,2084,0.2
Nebraska,1893921,42208,2.23,52726,2.78,1524,0.08,3456,0.18
Nevada,2887725,232502,8.05,292230,10.12,19019,0.66,38997,1.35
New Hampshire,1331848,33313,2.5,41738,3.13,,,1284,0.1
New Jersey,8960161,844105,9.42,920332,10.27,3013,0.03,12063,0.13
New Mexico,2084828,29991,1.44,47946,2.3,1390,0.07,3422,0.16
New York,19798228,1652846,8.35,1828118,9.23,7937,0.04,29859,0.15
North Carolina,10052564,269164,2.68,325289,3.24,6393,0.06,16046,0.16
North Dakota,745475,10197,1.37,13593,1.82,,,1245,0.17
Ohio,11609756,235878,2.03,295733,2.55,3499,0.03,11073,0.1
Oklahoma,3896251,80670,2.07,105533,2.71,5543,0.14,9972,0.26
Oregon,4025127,166351,4.13,227382,5.65,15157,0.38,32197,0.8
Pennsylvania,12790505,417525,3.26,484163,3.79,3665,0.03,13860,0.11
Puerto Rico,3468963,7789,0.22,9835,0.28,,,,
Rhode Island,1056138,35556,3.37,42939,4.07,,,2323,0.22
South Carolina,4893444,71994,1.47,93685,1.91,3015,0.06,5576,0.11
South Dakota,855444,11693,1.37,15198,1.78,,,1275,0.15
Tennessee,6597381,110605,1.68,138243,2.1,3784,0.06,9681,0.15
Texas,27419612,1236852,4.51,1425845,5.2,23531,0.09,53596,0.2
Utah,2993941,67545,2.26,97530,3.26,26742,0.89,43235,1.44
Vermont,624636,9680,1.55,12798,2.05,,,,
Virginia,8365952,520119,6.22,631621,7.55,5469,0.07,17885,0.21
Washington,7169967,578822,8.07,738309,10.3,46071,0.64,84927,1.18
West Virginia,1836843,14096,0.77,18820,1.02,,,,
Wisconsin,5763217,152325,2.64,181039,3.14,1811,0.03,6063,0.11
Wyoming,583200,5102,0.87,8590,1.47,,,,
