State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Alabama,4850771,11823,,,,,12843,5873,,,2378,11630,1497,,,,,,,,,,1783,,9243
Alaska,738565,,,,,,2071,25855,3979,,1526,4849,,,,,,,,,,,,,
Arizona,6809946,51370,,,2814,2586,39821,39921,,,9938,14903,,,,,,,,,,,3847,5030,29256
Arkansas,2977944,10143,,,,,6991,4211,,,,2471,4626,,,,,,,1671,,,,,5826
California,38982847,712532,10748,,16620,94746,1418254,1275057,94454,29716,276302,466313,67331,4097,5531,12384,,23649,,59744,11679,68567,52915,158340,642758
Colorado,5436519,27931,,,,2493,31418,15463,4446,,11113,20757,2612,,,4398,,,,1878,,1067,4292,3527,24222
Connecticut,3594478,57571,,,,2712,36704,12930,,,3820,10284,3063,,,,,2188,,6369,,1130,,2673,9523
Delaware,943732,15455,,,,,8694,3986,,,,2370,,,,,,,,,,,,,
District of Columbia,672391,6190,,,,,6644,3027,,,1285,2794,,,,,,,,,,,,,2e3
Florida,20278447,153968,5369,,,6741,93745,99641,,2352,14570,28712,5946,,,,,5722,,18572,,3412,13656,8545,71823
Georgia,10201635,130763,3297,,5289,4183,55292,21832,3583,2475,8943,54951,6165,,,,,4107,,13665,,2855,4651,5947,54116
Hawaii,1421658,2750,,,,,56523,211189,,,178444,23925,,,,,2138,,,,,,2067,47070,11480
Idaho,1657375,2764,,,,,5490,3982,,,2801,1559,,,,,,,,,,,,,
Illinois,12854526,231720,,,4042,3947,123982,122010,,,17994,59372,6005,,,,,4713,,32650,,4811,7847,12146,27506
Indiana,6614418,38170,,,10700,,32224,14257,,,5320,10785,,,,,,2845,,4374,,,,2719,8189
Iowa,3118102,13759,,,5972,,13718,4659,,,1500,6818,5284,,,,,,,,,,1917,1461,9620
Kansas,2903820,17574,,,2162,,12512,5809,,,2124,5581,4756,,,,,,,,,,,1963,15536
Kentucky,4424376,14208,,,2768,,9315,6205,,,4043,5060,,,,3215,,,,,,,,,6065
Louisiana,4663461,11679,,,,,11612,7721,,,,3917,,,,,,,,,,,,,33261
Maine,1330158,2151,,,,1608,3836,2015,,,514,1073,,,,,,,,,,,,,
Maryland,5996079,94054,3810,,6268,2996,80033,49379,,2214,7572,50218,,,,6360,,2749,,20680,3600,3768,4652,6433,25926
Massachusetts,6789319,98190,3203,,,29330,154498,13540,,,10732,24617,3724,,,6211,,3450,,7670,1503,4643,3288,9595,47472
Michigan,9925568,102735,10409,,3249,,55011,25459,5888,,11937,25795,3076,,,,,3196,,10862,,2693,2102,3716,15740
Minnesota,5490726,42099,,,11533,8400,29250,10921,75565,,4250,16352,10486,,,,,2838,,,,,2750,4891,27870
Mississippi,2986220,6180,,,,,4854,4227,,,1211,1984,,,,,,,,,,,,,7056
Missouri,6075300,27111,,,,,24568,12606,,,3261,9803,,,,,,,,4834,,,,1812,15686
Montana,1029862,,,,,,1748,1611,,,,1310,,,,,,,,,,,,,
Nebraska,1893921,7699,,,4795,,6354,2616,,,1785,3013,,,,,,,,,,,,,8378
Nevada,2887725,13252,,,,,33603,121410,,,10824,14867,,,,,,,,,,,6639,7348,11935
New Hampshire,1331848,10015,,,,,6924,2747,,,866,2440,,,,,,,,,,,,,2231
New Jersey,8960161,369590,11921,,,,151044,115958,,1876,13245,96644,,,,,,5e3,,29417,2207,7032,3062,8785,22594
New Mexico,2084828,4091,,,,,6017,6092,,,2210,2257,,,,,,,,,,,,,4646
New York,19798228,372309,73032,,15164,5243,691598,115857,,4750,37834,129987,3451,2683,,13515,,14571,,82631,6367,15233,11843,22663,30544
North Carolina,10052564,85074,,,5643,4038,43614,21695,12141,,6521,19542,6802,,,5382,,4982,,6794,,1795,3098,3658,34037
North Dakota,745475,,,,,,,2205,,,,,,,,,,,,,,,,,
Ohio,11609756,78583,,,,5375,52988,17149,,,10140,15792,4050,,,8813,,,,5079,,2535,2646,3584,15226
Oklahoma,3896251,14046,,,3369,,11100,6593,3569,,2410,6247,,,,,,2295,,2216,,,1165,1490,20631
Oregon,4025127,22870,,,,4372,37402,18488,,,13604,15203,4817,,,,,,,,,,2937,5317,29413
Pennsylvania,12790505,125202,4543,2166,,13823,106291,26848,,2681,6919,41255,,,,8136,,4207,,12024,,2510,2753,8536,42161
Puerto Rico,3468963,4630,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1056138,6826,,,,5616,8783,2662,,,,1716,,,,,,,,,,,,,2121
South Carolina,4893444,16893,,,,,15044,11652,,,2091,6210,,,,,,,,,,,1535,,7318
South Dakota,855444,,,,2152,,1851,1340,,,,1084,,,,,,,,,,,,,
Tennessee,6597381,28740,,,,,18658,11982,,,5219,10913,6700,,,,,2351,,,,,1719,,11768
Texas,27419612,358002,9874,,16331,15100,188957,128030,,4834,20807,71772,14124,,,16725,,10813,,71926,4374,12908,14024,20377,253149
Utah,2993941,9046,,,,2182,14384,7157,,,6396,5894,3031,,,,,,,,,,1603,2092,8578
Vermont,624636,1640,,,,,2462,,,,,,,,,,,,,,,,,,
Virginia,8365952,131199,8289,,,8236,72127,72676,,1692,12147,72115,3143,,,8405,,6173,,34656,,3174,8391,9458,59838
Washington,7169967,96379,,,,21511,118470,99712,,4100,37787,63833,8872,,,,,3304,,5225,,6768,6912,19842,73209
West Virginia,1836843,3811,,,,,3119,2610,,,,1036,,,,,,,,,,,,,
Wisconsin,5763217,30062,,,,,22744,8770,55792,,2685,8439,3577,,,,,,,2803,,,1383,1750,5334
