State,Total Population,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
Alabama,4850771,,,,,,,,,,,
Alaska,738565,,,,,,,,,5253,,
Arizona,6809946,,2515,,4104,,,,,,,
Arkansas,2977944,,,5625,,,,,,,,
California,38982847,26973,24640,,24738,,3219,6254,,40452,18529,3812
Colorado,5436519,,1648,,2424,,,,,,,
Connecticut,3594478,,,,,,,,,,,
Delaware,943732,,,,,,,,,,,
District of Columbia,672391,,,,,,,,,,,
Florida,20278447,,3426,,3116,,,,,,,
Georgia,10201635,,,,,,,,,,,
Hawaii,1421658,,2699,7884,88969,,17602,,,14864,,5958
Idaho,1657375,,,,,,,,,,,
Illinois,12854526,,,,1488,,,,,598,,
Indiana,6614418,,,,,,,,,,,
Iowa,3118102,,,,,,,,,,,
Kansas,2903820,,,,,,,,,,,
Kentucky,4424376,,,,,,,,,,,
Louisiana,4663461,,,,,,,,,,,
Maine,1330158,,,,,,,,,,,
Maryland,5996079,,782,,,,,,,,,
Massachusetts,6789319,,,,,,,,,,,
Michigan,9925568,,,,1037,,,,,,,
Minnesota,5490726,,,,,,,,,,,
Mississippi,2986220,,,,,,,,,,,
Missouri,6075300,,,,2124,,,,,1351,,
Montana,1029862,,,,,,,,,,,
Nebraska,1893921,,,,,,,,,,,
Nevada,2887725,,4034,,7432,,,,,4174,,
New Hampshire,1331848,,,,,,,,,,,
New Jersey,8960161,,,,,,,,,,,
New Mexico,2084828,,,,,,,,,,,
New York,19798228,,,,2303,,,2735,,925,,
North Carolina,10052564,,1862,,2223,,,,,,,
North Dakota,745475,,,,,,,,,,,
Ohio,11609756,,,,,,,,,,,
Oklahoma,3896251,,,2065,1154,,,,,,,
Oregon,4025127,,,,3783,,2570,,,,,
Pennsylvania,12790505,,,,,,,,,,,
Puerto Rico,3468963,,,,,,,,,,,
Rhode Island,1056138,,,,,,,,,,,
South Carolina,4893444,,,,,,,,,,,
South Dakota,855444,,,,,,,,,,,
Tennessee,6597381,,,,,,,,,,,
Texas,27419612,,6676,,6723,,,,,3164,,
Utah,2993941,,,,,,,,,9227,10551,
Vermont,624636,,,,,,,,,,,
Virginia,8365952,,2011,,1436,,,,,1124,,
Washington,7169967,,10665,,6959,,3263,,,13705,,2105
West Virginia,1836843,,,,,,,,,,,
Wisconsin,5763217,,,,,,,,,,,
Wyoming,583200,,,,,,,,,,,
