State,Total Population,Total NHPI Alone,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
Alabama,4850771,,,,,,,,,,,,
Alaska,738565,9075,,,,,,,,,57.88,,
Arizona,6809946,13364,,18.82,,30.71,,,,,,,
Arkansas,2977944,7062,,,79.65,,,,,,,,
California,38982847,152027,17.74,16.21,,16.27,,2.12,4.11,,26.61,12.19,2.51
Colorado,5436519,8580,,19.21,,28.25,,,,,,,
Connecticut,3594478,931,,,,,,,,,,,
Delaware,943732,,,,,,,,,,,,
District of Columbia,672391,,,,,,,,,,,,
Florida,20278447,12342,,27.76,,25.25,,,,,,,
Georgia,10201635,5237,,,,,,,,,,,
Hawaii,1421658,142600,,1.89,5.53,62.39,,12.34,,,10.42,,4.18
Idaho,1657375,2343,,,,,,,,,,,
Illinois,12854526,4275,,,,34.81,,,,,13.99,,
Indiana,6614418,2635,,,,,,,,,,,
Iowa,3118102,2913,,,,,,,,,,,
Kansas,2903820,1923,,,,,,,,,,,
Kentucky,4424376,2271,,,,,,,,,,,
Louisiana,4663461,1401,,,,,,,,,,,
Maine,1330158,,,,,,,,,,,,
Maryland,5996079,2830,,27.63,,,,,,,,,
Massachusetts,6789319,2253,,,,,,,,,,,
Michigan,9925568,2808,,,,36.93,,,,,,,
Minnesota,5490726,1976,,,,,,,,,,,
Mississippi,2986220,,,,,,,,,,,,
Missouri,6075300,6336,,,,33.52,,,,,21.32,,
Montana,1029862,,,,,,,,,,,,
Nebraska,1893921,1524,,,,,,,,,,,
Nevada,2887725,19019,,21.21,,39.08,,,,,21.95,,
New Hampshire,1331848,,,,,,,,,,,,
New Jersey,8960161,3013,,,,,,,,,,,
New Mexico,2084828,1390,,,,,,,,,,,
New York,19798228,7937,,,,29.02,,,34.46,,11.65,,
North Carolina,10052564,6393,,29.13,,34.77,,,,,,,
North Dakota,745475,,,,,,,,,,,,
Ohio,11609756,3499,,,,,,,,,,,
Oklahoma,3896251,5543,,,37.25,20.82,,,,,,,
Oregon,4025127,15157,,,,24.96,,16.96,,,,,
Pennsylvania,12790505,3665,,,,,,,,,,,
Puerto Rico,3468963,,,,,,,,,,,,
Rhode Island,1056138,,,,,,,,,,,,
South Carolina,4893444,3015,,,,,,,,,,,
South Dakota,855444,,,,,,,,,,,,
Tennessee,6597381,3784,,,,,,,,,,,
Texas,27419612,23531,,28.37,,28.57,,,,,13.45,,
Utah,2993941,26742,,,,,,,,,34.5,39.45,
Vermont,624636,,,,,,,,,,,,
Virginia,8365952,5469,,36.77,,26.26,,,,,20.55,,
Washington,7169967,46071,,23.15,,15.1,,7.08,,,29.75,,4.57
West Virginia,1836843,,,,,,,,,,,,
Wisconsin,5763217,1811,,,,,,,,,,,
Wyoming,583200,,,,,,,,,,,,
