State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
Alabama,42025,5440,8093,7338,21154
Alaska,29572,5452,7543,8865,7712
Arizona,147661,18881,19250,29599,79931
Arkansas,27307,3877,5011,4890,13529
California,3991789,510632,564029,877087,2040041
Colorado,111520,15866,17451,21437,56766
Connecticut,106249,10823,13086,13365,68975
Delaware,25032,2099,2653,2898,17382
District of Columbia,19603,,,,15625
Florida,387880,51713,67995,78328,189844
Georgia,262112,36149,44341,41146,140476
Hawaii,426195,49245,112831,123410,140709
Idaho,15182,1952,3051,3757,6422
Illinois,469283,42691,50871,75273,300448
Indiana,82138,12218,11808,11280,46832
Iowa,42162,7353,6795,7870,20144
Kansas,50840,8321,8351,9041,25127
Kentucky,37843,5743,5800,6378,19922
Louisiana,54255,12180,10898,8946,22231
Maine,9779,1783,1799,1896,4301
Maryland,264470,25043,31028,40720,167679
Massachusetts,285973,42703,40625,32814,169831
Michigan,186277,20165,20957,27143,118012
Minnesota,151970,30403,23972,32190,65405
Mississippi,19596,3469,3781,4527,7819
Missouri,73958,9545,10508,11055,42850
Montana,4788,,,,2247
Nebraska,25512,5803,4095,3926,11688
Nevada,174917,18418,37047,53321,66131
New Hampshire,21769,2736,3235,2846,12952
New Jersey,590486,45467,65175,74542,405302
New Mexico,21509,2967,3670,4166,10706
New York,1168646,252182,206566,173195,536703
North Carolina,177008,25680,26154,27091,98083
North Dakota,6151,,,,2955
Ohio,157691,19698,21389,20112,96492
Oklahoma,52239,9472,9752,11269,21746
Oregon,115465,16067,16678,25417,57303
Pennsylvania,276567,47139,42880,35609,150939
Puerto Rico,5522,,,,
Rhode Island,22115,3728,3916,3537,10934
South Carolina,48667,6892,9158,9323,23294
South Dakota,6729,1821,1233,,2799
Tennessee,74602,10578,13353,11470,39201
Texas,839896,102763,111600,138165,487368
Utah,44512,5818,8430,9224,21040
Vermont,5818,1295,,,2645
Virginia,360570,37894,47488,60728,214460
Washington,413040,52532,61839,89071,209598
West Virginia,9670,,1443,,6136
Wisconsin,86653,13881,15640,15973,41159
Wyoming,3480,,,,
