State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
Alabama,42025,0.12944675788221296,0.1925758477096966,0.1746103509815586,0.5033670434265318
Alaska,29572,0.1843635871770594,0.2550723657513864,0.299776815906939,0.26078723116461516
Arizona,147661,0.12786720935114892,0.13036617658013963,0.20045238756340536,0.541314226505306
Arkansas,27307,0.14197824733584796,0.18350606071703227,0.1790749624638371,0.49544072948328266
California,3991789,0.12792058898904726,0.14129729802852806,0.21972278594885652,0.5110593270335682
Colorado,111520,0.14227044476327116,0.15648314203730274,0.19222560975609757,0.5090208034433286
Connecticut,106249,0.10186448813635893,0.12316351212717296,0.1257894191945336,0.6491825805419346
Delaware,25032,0.08385266858421221,0.10598434004474273,0.11577181208053691,0.6943911792905082
District of Columbia,19603,,,,0.7970718767535582
Florida,387880,0.13332216149324533,0.1752990615654326,0.2019387439414252,0.48944003299989686
Georgia,262112,0.13791432670003662,0.1691681418630204,0.15697869612989868,0.5359388353070443
Hawaii,426195,0.11554570091155457,0.264740318398855,0.2895622895622896,0.33015169112730086
Idaho,15182,0.12857331049927545,0.20096166512975894,0.24746410222632065,0.42300092214464496
Illinois,469283,0.09097069359000859,0.10840154022199824,0.16040001449019037,0.6402277516978028
Indiana,82138,0.1487496651975943,0.14375806569431931,0.13732985950473595,0.5701624096033504
Iowa,42162,0.1743987476874911,0.16116408140031308,0.1866609743370808,0.47777619657511505
Kansas,50840,0.16367033831628638,0.16426042486231313,0.1778324154209284,0.4942368214004721
Kentucky,37843,0.15175858150780858,0.15326480458737415,0.16853843511349523,0.526438178791322
Louisiana,54255,0.22449543820846005,0.2008662796055663,0.16488802875311032,0.4097502534328633
Maine,9779,0.18232948154207998,0.18396564065855406,0.19388485530217814,0.4398200224971879
Maryland,264470,0.09469126933111506,0.11732143532347715,0.1539683139864635,0.6340189813589443
Massachusetts,285973,0.14932528595356903,0.14205886569711126,0.11474509831347715,0.5938707500358426
Michigan,186277,0.10825276335779511,0.11250449599252725,0.14571310467744272,0.6335296359722349
Minnesota,151970,0.20005922221491085,0.15774165953806674,0.2118181219977627,0.43038099624925974
Mississippi,19596,0.17702592365788936,0.19294754031434988,0.23101653398652786,0.3990100020412329
Missouri,73958,0.12905973660726358,0.14208064036344953,0.14947673003596637,0.5793828929933206
Montana,4788,,,,0.4692982456140351
Nebraska,25512,0.227461586704296,0.16051269990592662,0.15388836625901536,0.458137347130762
Nevada,174917,0.10529565451042494,0.21179759543097584,0.3048360079351921,0.3780707421234071
New Hampshire,21769,0.12568331113050668,0.14860581560935274,0.1307363682300519,0.5949745050300886
New Jersey,590486,0.07699928533445331,0.11037518247680723,0.12623838668486637,0.686387145503873
New Mexico,21509,0.13794225672974103,0.17062624947696314,0.19368636384769167,0.49774512994560416
New York,1168646,0.2157898970261311,0.1767566910766819,0.14820142284318777,0.4592519890539992
North Carolina,177008,0.14507818855644944,0.14775603362559883,0.15304957968001445,0.5541161981379372
North Dakota,6151,,,,0.4804096894813851
Ohio,157691,0.12491518222346235,0.13563868578422358,0.12754056984862802,0.6119055621436861
Oklahoma,52239,0.18132046938111374,0.18668044947261625,0.21572005589693524,0.4162790252493348
Oregon,115465,0.13915039189364742,0.14444203871302994,0.2201273113064565,0.49628025808686616
Pennsylvania,276567,0.1704433283797416,0.1550438049369592,0.12875361124067586,0.5457592554426233
Puerto Rico,5522,,,,
Rhode Island,22115,0.16857336649333032,0.17707438390232874,0.1599366945512096,0.49441555505313134
South Carolina,48667,0.14161546838720282,0.18817679330963485,0.19156718104670517,0.47864055725645716
South Dakota,6729,0.270619705751226,0.18323673651359787,,0.4159607668301382
Tennessee,74602,0.1417924452427549,0.1789898394144929,0.15374922924318382,0.5254684860995684
Texas,839896,0.1223520531113376,0.1328735938735272,0.16450250983455095,0.5802718431805842
Utah,44512,0.13070632638389648,0.18938713156002876,0.20722501797268153,0.47268152408339326
Vermont,5818,0.22258508078377448,,,0.4546235819869371
Virginia,360570,0.10509471115178745,0.13170258202290816,0.16842222037329782,0.5947804864520065
Washington,413040,0.12718380786364517,0.14971673445671121,0.21564739492543095,0.5074520627542126
West Virginia,9670,,0.14922440537745604,,0.6345398138572906
Wisconsin,86653,0.16019064544793601,0.18049000034620843,0.1843329140364442,0.47498644016941133
Wyoming,3480,,,,
