State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
Alabama,1439,,,,
Alaska,4704,,1908,1662,
Arizona,8560,,2762,3254,1571
Arkansas,3702,,,,
California,100525,14402,31392,36520,18211
Colorado,4864,,,1949,
Connecticut,,,,,
Delaware,,,,,
District of Columbia,,,,,
Florida,8134,,2452,2975,
Georgia,3380,,,,
Hawaii,87285,10018,38605,26663,11999
Idaho,1417,,,,
Illinois,2847,,,,
Indiana,1563,,,,
Iowa,1602,,,,
Kansas,1155,,,,
Kentucky,1235,,,,
Louisiana,820,,,,
Maine,,,,,
Maryland,1982,,,,
Massachusetts,1294,,,,
Michigan,1839,,,,
Minnesota,1232,,,,
Mississippi,,,,,
Missouri,3386,,,,
Montana,,,,,
Nebraska,994,,,,
Nevada,12099,,4881,4453,1499
New Hampshire,,,,,
New Jersey,1876,,,,
New Mexico,851,,,,
New York,5474,,,,
North Carolina,3661,,,,
North Dakota,,,,,
Ohio,2199,,,,
Oklahoma,2986,,1346,,
Oregon,8707,,2828,3332,
Pennsylvania,2415,,,,
Puerto Rico,,,,,
Rhode Island,,,,,
South Carolina,1673,,,,
South Dakota,,,,,
Tennessee,2269,,,,
Texas,14794,,4928,5253,2990
Utah,13822,,5130,5486,2029
Vermont,,,,,
Virginia,3484,,,1344,
Washington,27479,3142,11846,9131,3360
West Virginia,,,,,
Wisconsin,1179,,,,
Wyoming,,,,,
