State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
Alabama,1439,,,,
Alaska,4704,,40.56,35.33,
Arizona,8560,,32.27,38.01,18.35
Arkansas,3702,,,,
California,100525,14.33,31.23,36.33,18.12
Colorado,4864,,,40.07,
Connecticut,,,,,
Delaware,,,,,
District of Columbia,,,,,
Florida,8134,,30.15,36.57,
Georgia,3380,,,,
Hawaii,87285,11.48,44.23,30.55,13.75
Idaho,1417,,,,
Illinois,2847,,,,
Indiana,1563,,,,
Iowa,1602,,,,
Kansas,1155,,,,
Kentucky,1235,,,,
Louisiana,820,,,,
Maine,,,,,
Maryland,1982,,,,
Massachusetts,1294,,,,
Michigan,1839,,,,
Minnesota,1232,,,,
Mississippi,,,,,
Missouri,3386,,,,
Montana,,,,,
Nebraska,994,,,,
Nevada,12099,,40.34,36.8,12.39
New Hampshire,,,,,
New Jersey,1876,,,,
New Mexico,851,,,,
New York,5474,,,,
North Carolina,3661,,,,
North Dakota,,,,,
Ohio,2199,,,,
Oklahoma,2986,,45.08,,
Oregon,8707,,32.48,38.27,
Pennsylvania,2415,,,,
Puerto Rico,,,,,
Rhode Island,,,,,
South Carolina,1673,,,,
South Dakota,,,,,
Tennessee,2269,,,,
Texas,14794,,33.31,35.51,20.21
Utah,13822,,37.11,39.69,14.68
Vermont,,,,,
Virginia,3484,,,38.58,
Washington,27479,11.43,43.11,33.23,12.23
West Virginia,,,,,
Wisconsin,1179,,,,
Wyoming,,,,,
