State,Group Population,No Health INS,Share No Health INS
Alabama,62423,,
Alaska,44842,,
Arizona,211841,18004,8.5
Arkansas,42129,,
California,5476636,411767,7.52
Colorado,163368,,
Connecticut,156090,12063,7.73
Delaware,36442,,
District of Columbia,25438,,
Florida,541204,80124,14.8
Georgia,387256,58076,15
Hawaii,533976,21337,4
Idaho,22555,,
Illinois,670091,58617,8.75
Indiana,137389,,
Iowa,71021,,
Kansas,79928,,
Kentucky,59093,,
Louisiana,80377,,
Maine,14711,,
Maryland,371037,31053,8.37
Massachusetts,425068,,
Michigan,288659,22236,7.7
Minnesota,255191,,
Mississippi,28140,,
Missouri,112091,,
Montana,7355,,
Nebraska,42080,,
Nevada,231610,26199,11.31
New Hampshire,33168,,
New Jersey,842118,80344,9.54
New Mexico,29632,,
New York,1647951,161610,9.81
North Carolina,266672,29942,11.23
North Dakota,10081,,
Ohio,235412,19548,8.3
Oklahoma,79902,,
Oregon,165583,,
Pennsylvania,416336,41351,9.93
Puerto Rico,7653,,
Rhode Island,35308,,
South Carolina,70699,,
South Dakota,11610,,
Tennessee,110191,,
Texas,1231023,163384,13.27
Utah,67278,,
Vermont,9648,,
Virginia,516101,56100,10.87
Washington,574483,42072,7.32
West Virginia,14013,,
Wisconsin,151791,,
Wyoming,4983,,
